Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Chanden,Climaco,Harvard CC,Harvard,MA,118.5,59.2,177.7,4.17,177.49,67.02
2,Sam,Church,Harvard CC,Harvard,MA,118.5,59.2,177.4,4.17,177.23,19.68
3,Grace,Kessler,Emory KR,Emory,GA,118.27,59,177.24,4.4,178.37,71.72
4,Zidao,Wang,Georgetown LW,Georgetown,DC,118,59,176.8,3.83,176.77,82.03
5,Kieran,Lawless,Georgetown LW,Georgetown,DC,117.9,58.9,177,3.83,176.96,18.76
6,Maeve,Ella,Iowa EC,Iowa,IA,117.9,58.9,176.9,3.33,176.86,7.45
7,Ryan,Cavanaugh,Iowa EC,Iowa,IA,117.8,59,176.6,3.33,176.52,77.42
8,Jay-Z,Flores,CSU Long Beach FO,CSU Long Beach,CA,117.8,58.9,176.6,3.5,176.57,23.08
9,Nora,Cai,Dartmouth BC,Dartmouth,NH,117.4,58.8,176.1,4.2,176.28,58.83
10,Curtis,Ortega,CSU Long Beach FO,CSU Long Beach,CA,117.4,58.8,176,3.5,175.87,83.27
11,Henry,Mitchell,Emory MP,Emory,GA,117.4,58.7,176,4.33,176.45,89.44
12,Holland,Bald,Dartmouth BC,Dartmouth,NH,117.4,58.7,176,4.2,176.09,67.86
13,Nick,Loew,George Mason LR,George Mason,VA,117.3,58.7,175.5,3.67,176.01,8.93
14,Bella,Piekut,Emory MP,Emory,GA,117.3,58.6,175.9,4.33,176.36,68.79
15,David,Griffith,Kentucky GD,Kentucky,KY,117.3,58.6,175.9,3.83,176.52,72.32
16,Graham,Revare,Kansas RS,Kansas,KS,117.2,58.6,176.1,3.4,176.55,5.48
17,Shreyas,Rajagopal,Emory KR,Emory,GA,117.2,58.6,175.92,4.4,177.01,98.26
18,Nik,Stamenkovic Diez,Northwestern SS,Northwestern,IL,117.2,58.5,175.6,3.5,175.66,63.67
19,Jordan,Di,Kentucky GD,Kentucky,KY,117.1,58.6,175.6,3.83,176.13,19.99
20,Maya,El-Sharif,Dartmouth/Pennsylvania CE,Dartmouth,NH,117.1,58.6,175.5,3,175.21,46.73
21,Kelly,Phil,Michigan PD,Michigan,MI,117.1,58.5,175.7,3.67,175.99,23.23
22,Catherine,Smith,Wake Forest SD,Wake Forest,NC,117,58.6,175.1,3.67,174.9,56.87
23,Antonio,Souchet,Northwestern SS,Northwestern,IL,117,58.6,175.1,3.5,175.44,96.31
24,William,Soper,Kansas RS,Kansas,KS,116.9,58.4,175.9,3.4,176.28,10.07
25,Joanna,Gusis,Michigan State MG,Michigan State,MI,116.9,58.4,175.4,3.67,175.63,60.55
26,Tony,Miklovis,Michigan State MG,Michigan State,MI,116.8,58.4,175.1,3.67,175.5,15.89
27,Margaret,Hecht,Emory HG,Emory,GA,116.8,58.4,174.8,3.5,175.36,12.78
28,John,Marshall,Kansas MP,Kansas,KS,116.7,58.4,174.9,3.17,176.06,88.66
29,Neo,Cai,Dartmouth/Pennsylvania CE,Dartmouth,NH,116.7,58.2,175.3,3,174.83,16.66
30,Clara,Conry,Clara Conry,Emory,GA,116.7,58.2,174.9,3.83,175.14,95.27
31,Sonnie,Picallo,Binghamton MP,Binghamton,NY,116.6,58.3,175.2,3.8,175.48,38.17
32,Bennett,Dombcik,Michigan PD,Michigan,MI,116.6,58.3,174.8,3.67,175.08,11.93
33,Ethan,Harris,Kansas HS,Kansas,KS,116.6,58.2,175,3,175.1,55.81
34,Conner,Shih,Michigan SG,Michigan,MI,116.5,58.3,174.8,3.83,174.49,77.36
35,David,Koster,Michigan State KL,Michigan State,MI,116.5,58.2,174.8,3.67,175.07,37.13
36,Thomas,Babcock,Wichita State BB,Wichita State,KS,116.5,58.2,174.8,3.67,174.76,62.47
37,Hargunn,Sandhu,Emory SM,Emory,GA,116.5,58.2,174.8,3.33,175.52,79.82
38,Kristopher,Wallen,Emory WP,Emory,GA,116.5,58.2,174.5,3.67,174.9,69.53
39,Rishi,Mukherjee,UMass MS,"Massachusetts, Amherst",MA,116.5,58.2,174.5,2.33,173.89,87.98
40,Owen,Williams,Kansas WW,Kansas,KS,116.5,58.2,174.3,3.5,174.36,57.34
41,Daniel,Gallagher,Emory HG,Emory,GA,116.4,58.2,174.5,3.5,175.24,37.98
42,Travis,Babcock,Wichita State BB,Wichita State,KS,116.4,58.2,174.4,3.67,174.26,39.02
43,Raunak,Dua,Wake Forest SD,Wake Forest,NC,116.4,58.2,174.1,3.67,173.87,37.39
