Wins,Name,Code,School
6,Taxali & O'Connor,George Mason TO,George Mason
5,Collins & Tong,United States Military TC,United States Military
4,Cunningham & Koenig,Liberty CK,Liberty
4,Kang & Wilder,United States Military KW,United States Military
3,Patel & Badmus,George Mason PB,George Mason
3,Tiffany & Pinto,James Madison PT,James Madison
3,Hoegerl & Wineman,Liberty WH,Liberty
3,Martin & Mckenna,United States Military MM,United States Military
2,Lopez & Gowel,James Madison GL,James Madison
2,Kardos & McConville,James Madison KM,James Madison
1,Peyton & Shelat,United States Military PS,United States Military
0,Ferrell & Fritts,West Virginia FF,West Virginia
