Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Jameson,Balda,James Madison BR,James Madison,VA,117.2,58.6,175.6,2.17,175.48,8.68
2,Roy,Rinehart,James Madison BR,James Madison,VA,116.9,58.6,175,2.17,174.38,27.64
3,Gaege,Gobezie,Liberty SG,Liberty,VA,116.8,58.4,175.2,3,174.45,72.25
4,Austin,Davis,Austin Davis,George Mason,VA,116.8,58.3,175.3,3.33,175.87,78.79
5,Jay,Fuchs,Austin Davis,George Mason,VA,116.5,58.2,174.6,3.33,175.41,64.06
6,cole,wolfe,Wake Forest WN,Wake Forest,NC,116.4,58.1,174.9,3.17,177.23,91.09
7,Ashley,Wright,George Mason RW,George Mason,VA,116.3,58.1,174.2,3,174.95,35.02
8,Nahali,Tittle,Towson CT,Towson,MD,116.2,58.1,174.7,3.17,177.08,39.27
9,Megan,Rodak,George Mason RW,George Mason,VA,116.1,58,174.4,3,174.93,82.47
10,Daniel,Christ,Towson CT,Towson,MD,116.1,58,174.3,3.17,176.28,61.34
11,Tarang,Mishra,James Madison MO,James Madison,VA,115.9,57.8,173.7,3.17,173.88,47.68
12,Alyssa,Shuttlesworth,Liberty SG,Liberty,VA,115.8,57.8,173.9,3,173.41,39.92
13,Kimberly,Nguyen,Wake Forest WN,Wake Forest,NC,115.5,57.9,173.4,3.17,174.26,69.88
14,Kaleb,Horne,Liberty HB,Liberty,VA,115.4,57.8,173.3,3.5,173.38,72.61
15,Anna,Oehler,James Madison MO,James Madison,VA,115.4,57.6,173.4,3.17,173.22,9.44
16,Silma,Bathily,Wake Forest BS,Wake Forest,NC,115.1,57.7,172.6,2.83,174.2,9.76
17,Justin,Sayoto,Wake Forest BS,Wake Forest,NC,115,57.5,172.6,2.83,174.09,37.76
18,Caroline,Berry,Liberty HB,Liberty,VA,114.6,57.4,172,3.5,170.83,11.45
19,Dominic,Opron,United States Military SO,United States Military,NY,113.1,56.7,162,2.67,166.17,46.28
20,Valentin,Shatilenko,United States Military SO,United States Military,NY,113.1,56.6,169.4,2.67,168.42,18.66
