Wins,Name,Code,School
6,Martin & Sottos,UniSta MS,United States Military
5,Conway & Collins,UniSta CC,United States Military
5,Wilder & Kang,UniSta KW,United States Military
5,Tong & Mckenna,UniSta TM,United States Military
3,Bellinger & Belloso,Monmou BB,Monmouth
3,Bravaco & Laureano,Monmou BL,Monmouth
3,Makfinsky & Carbone,Monmou CM,Monmouth
3,Pyke-Sharpe & Delgado,NYU DP,NYU
2,George & Rymar,Monmou RG,Monmouth
2,Benoit & Jothimani,NYU JB,NYU
2,Swaine & aldebot ho,Suffol SA,Suffolk
1,Gregorian & Santiago,Monmou SG,Monmouth
1,Stella Crouch,NewSch SC,New School
