Wins,Name,Code,School
6,Sendejas & Rios,UTD SR,UTD
5,Willingham & Yang,Kansas YW,Kansas
4,Sullivan & Teague,Oklahoma TS,Oklahoma
4,Waheed & Yarborough,Oklahoma WY,Oklahoma
4,Lasseter & Penumetcha,UTD LP,UTD
4,Doratt & Fernandez,Houston FD,Houston
3,Neal & Shockley,Missouri State SN,Missouri State
3,Carter & Torres,Missouri Valley CT,Missouri Valley
3,Houston & story,Oklahoma HS,Oklahoma
3,McManus & Freeman,Wichita State FM,Wichita State
2,Burns & Rauhoff,Missouri State BR,Missouri State
2,Granger & Wilkinson,Missouri State WG,Missouri State
2,Gardner & Smith,Central Oklahom SG,Central Oklahoma
1,Sum & Sand,Kansas State SS,Kansas State
1,Albright & Roy,Missouri State AR,Missouri State
