Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Anastasia,Keeler,Baylor KP,Baylor,TX,116.7,58.6,174.8,2.33,175,38.44
2,Kyla,Pertuit,Baylor KP,Baylor,TX,115.8,57.8,173.8,2.33,173.64,82.43
3,Mary,Hammond,Samford HH,Samford,AL,115.1,57.5,172.9,2.67,172.99,72.85
4,Madison,Hackett,Samford HH,Samford,AL,114.9,57.4,172.5,2.67,172.64,22.26
5,Sean,Sung,Cornell ZS,Cornell,NY,114.5,57.3,171.8,4,171.74,1.13
6,Absa,Diop,Cornell ED,Cornell,NY,114.5,57.2,171.9,3,172.01,89.15
7,Lewis,Cuello,Georgia TC,Georgia,GA,114.5,57.1,172.2,2.83,172.73,66.75
8,Kenny,Tsao,Georgia TC,Georgia,GA,114.4,57.2,171.7,2.83,172.16,53.38
9,Sanjana,Basu-Mallick,Navy AB,Navy,MD,114.4,57.2,171.6,3.17,171.21,54.25
10,Paridhi,Agarwal,Navy AB,Navy,MD,114.3,57.4,171.4,3.17,170.97,44.86
11,Oscar,Zhuo,Cornell ZS,Cornell,NY,114.2,57.1,171.1,4,170.95,87.91
12,Maiya,Easton,Cornell ED,Cornell,NY,113.7,56.9,170.8,3,170.87,64.07
