Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Emma,Chen,Emory CC,Emory,GA,86.4,28.7,144,3.2,173.96,1.28
2,Dantrell,Cheng,Emory CC,Emory,GA,85.8,28.7,143.2,3.2,172.92,2.65
3,Nicholas,Billingsley,Georgia BH,Georgia,GA,85.65,0,143.25,4,171.71,97.95
4,John,Habig,Samford HF,Samford,AL,85.6,28.5,142.8,3.8,170.66,10.67
5,Griffin,Satterfield,Navy SS,Navy,MD,85.6,28.5,142.7,3.4,171.64,71.39
6,Rachel,Fuentes,Samford HF,Samford,AL,85.4,28.4,142.6,3.8,170.7,97.59
7,Nathan,Schmidt,Navy SS,Navy,MD,85.4,28.4,142.5,3.4,171.32,23.16
8,Jake,Lawrence,Navy LC,Navy,MD,85.3,28.5,142.4,3.8,170.89,18.17
9,Carlos,Clinche,Navy LC,Navy,MD,84.8,28.3,141.9,3.8,170.2,48.43
10,Georgia,Hayes,Georgia BH,Georgia,GA,84.75,0,107.5,4,101.61,34.22
