Wins,Name,Code,School
7,Johnson & Phoenix-Flood,Minnesota JP,Minnesota
6,Vazquez Torres & Wallace,Dartmouth VW,Dartmouth
6,Shirts & Rupp,Emory RS,Emory
6,Pierce & Wallen,Emory WP,Emory
6,Elliott & Perez,Wake Forest PE,Wake Forest
5,Liu & okahata,Emory LO,Emory
5,Pelletier & Conway,James Madison PC,James Madison
5,King & Moore,Trinity MK,Trinity
5,Lasseter & Mubarak,UTD LM,UTD
4,Bellam & Wilson,Emory WB,Emory
4,Fuchs & Davis,Austin Davis,George Mason
4,Rodak & Wright,George Mason RW,George Mason
4,Horne & Shuttlesworth,Liberty HS,Liberty
4,Davis & Parrish,Minnesota DP,Minnesota
4,Prost & Wells,Minnesota PW,Minnesota
3,Mishra & Oehler,James Madison MO,James Madison
3,Benson & Haber-Fawcett,Minnesota HB,Minnesota
3,Connor & Rea,Navy RC,Navy
3,Patterson & Walker,Trinity WP,Trinity
2,Kim & Piraino,Dartmouth PK,Dartmouth
2,Fernando & Fish,Indiana FF,Indiana
2,Balda & Rinehart,James Madison BR,James Madison
1,Fish & Midithuri,Indiana FM,Indiana
