Place,First,Last,Entry,School,State,Pts -1HL,Pts,Z2,Rand -1HL
1,Kristopher,Wallen,Emory WP,Emory,GA,176,234.5,235.14,32.21
2,Donald,Pierce,Emory WP,Emory,GA,175.8,234.5,234.88,32.19
3,Sean,Wallace,Dartmouth VW,Dartmouth,NH,175.1,233.6,233.94,78.41
4,J,Parrish,Minnesota DP,Minnesota,MN,175,233.4,233.23,35.73
5,Nolan,Johnson,Minnesota JP,Minnesota,MN,175,233.2,233.72,16.18
6,Storm,Lasseter,UTD LM,UTD,TX,174.9,232.9,232.81,10.58
7,Owen,Phoenix-Flood,Minnesota JP,Minnesota,MN,174.6,232.7,233.31,83.17
8,Serena,Rupp,Emory RS,Emory,GA,174.5,232.7,233.46,70.74
9,Thais (TC),Perez,Wake Forest PE,Wake Forest,NC,174.48,232.46,203.43,20.31
10,Liz,Elliott,Wake Forest PE,Wake Forest,NC,174.36,232.8,203.87,44.85
11,Miranda,Wilson,Emory WB,Emory,GA,174.36,232.46,232.32,17.93
12,Hasan,Mubarak,UTD LM,UTD,TX,174.3,232.4,232.46,69.11
13,Jared,Shirts,Emory RS,Emory,GA,174.2,232.9,233.15,16.61
14,Sohan,Bellam,Emory WB,Emory,GA,174.12,232.34,232.01,1.92
15,Ryan,Davis,Minnesota DP,Minnesota,MN,174.1,232.2,231.67,94.42
16,Jack,Moore,Trinity MK,Trinity,TX,174.1,232,231.55,74.72
17,William,Walker,Trinity WP,Trinity,TX,174.1,231.9,232.35,76.43
18,michi,okahata,Emory LO,Emory,GA,173.9,231.8,231.71,10.83
19,Ruth,Patterson,Trinity WP,Trinity,TX,173.9,231.7,232.08,99.79
20,Ashley,Wright,George Mason RW,George Mason,VA,173.8,231.6,230.67,34.25
21,Jenny,Vazquez Torres,Dartmouth VW,Dartmouth,NH,173.7,232,231.75,72.91
22,Kacee,Wells,Minnesota PW,Minnesota,MN,173.6,231.6,231.52,87.58
23,Dylan,Liu,Emory LO,Emory,GA,173.6,231.5,231.39,42.11
24,Brooklyn,King,Trinity MK,Trinity,TX,173.6,231.5,230.8,93.85
25,Matthew,Conway,James Madison PC,James Madison,VA,173.4,231,231.41,8.16
26,Megan,Rodak,George Mason RW,George Mason,VA,173.3,231.2,230.28,96.94
27,Eric,Pelletier,James Madison PC,James Madison,VA,173.2,231.3,231.82,24.43
28,Roy,Rinehart,James Madison BR,James Madison,VA,173.04,230.74,230.26,99.31
29,Jameson,Balda,James Madison BR,James Madison,VA,172.8,230.4,229.95,90.87
30,Caleb,Prost,Minnesota PW,Minnesota,MN,172.7,230.7,230.16,83.03
31,Truman,Connor,Navy RC,Navy,MD,172.56,229.94,229.9,28.04
32,Alyssa,Shuttlesworth,Liberty HS,Liberty,VA,172.5,230.3,229.71,19.92
33,Kaleb,Horne,Liberty HS,Liberty,VA,172.5,228.4,229.03,39.37
34,Zander,Fish,Indiana FF,Indiana,IN,172.44,229.94,228.47,73.52
35,Austin,Davis,Austin Davis,George Mason,VA,172.32,230.06,229.5,0.54
36,Benjy,Haber-Fawcett,Minnesota HB,Minnesota,MN,172.3,229.6,229.14,67.51
37,Jay,Fuchs,Austin Davis,George Mason,VA,172.2,229.71,229.07,16.98
38,Zoey,Benson,Minnesota HB,Minnesota,MN,172.2,229.5,228.95,97.33
39,Tarang,Mishra,James Madison MO,James Madison,VA,172.08,229.94,229.63,86.64
40,Anekah,Fish,Indiana FM,Indiana,IN,172,229.3,229.09,97.91
41,Anna,Oehler,James Madison MO,James Madison,VA,171.96,229.49,229.48,98.67
42,Aaron,Fernando,Indiana FF,Indiana,IN,171.96,229.49,227.78,82.54
43,Doyun,Kim,Dartmouth PK,Dartmouth,NH,171.84,228.69,228.19,76.48
44,Armen,Rea,Navy RC,Navy,MD,171.6,228.34,227.77,68.66
45,Sofia,Piraino,Dartmouth PK,Dartmouth,NH,171.24,228.34,227.5,39.35
46,Sai Vishnu Sri Hiranmayi,Midithuri,Indiana FM,Indiana,IN,171,227.8,226.87,20.48
