Wins,Name,Code,School
5,Cutting & Postsiadlo,Boston College PC,Boston College
5,Ozcayir & Rahman,Rochester OR,Rochester
4,Gurrola & Herath,CSU Long Beach GH,CSU Long Beach
4,Lawrence & Satterfield,Navy LS,Navy
3,Halgren & Zarate,Johnson County Community HZ,Johnson County Community
3,Rivera & Reese,Southwestern RR,Southwestern
3,Sanchez & Pagnan,Southwestern SP,Southwestern
3,Suarez & Hewlett,Houston HS,Houston
2,Torres & kim,CSU Long Beach KT,CSU Long Beach
2,Boeckmann & Turner,Johnson County Community BT,Johnson County Community
2,Glover & Marco,Georgia MG,Georgia
