Wins,Name,Code,School
6,Kessler & Rajagopal,Emory KR,Emory
6,Koster & Lewis,Michigan State KL,Michigan State
6,Desai & Kashyap,Texas DK,Texas
6,Park & Marshall,Kansas MP,Kansas
5,Cai & El-Sharif,Dartmouth/Pennsylvania CE,Dartmouth
5,Gallagher & Hecht,Emory GH,Emory
5,Pierce & Wallen,Emory WP,Emory
5,Loew & Reed,George Mason LR,George Mason
5,Lawless & Wang,Georgetown LW,Georgetown
5,Di & Griffith,Kentucky GD,Kentucky
5,Phil & Dombcik,Michigan PD,Michigan
5,Bressler & Mojica,Wake Forest BM,Wake Forest
5,Dua & Luckett,Wake Forest DL,Wake Forest
5,Cho & Puerto,Wake Forest PC,Wake Forest
4,Darwish & Hudson,Baylor HD,Baylor
4,Marin & Picallo,Binghamton MP,Binghamton
4,T. Louis & Choudhury,Binghamton TC,Binghamton
4,Ortega & Flores,CSU Long Beach OF,CSU Long Beach
4,Bald & Cai,Dartmouth BC,Dartmouth
4,Wallace & Vazquez Torres,Dartmouth VW,Dartmouth
4,Conry & Doubledee,Emory CD,Emory
4,Kim & Lobo,Emory LK,Emory
4,Mitchell & Piekut,Emory MP,Emory
4,Rupp & Shirts,Emory RS,Emory
4,Ogbogu & Gines,Harvard OG,Harvard
4,Gusis & Miklovis,Michigan State MG,Michigan State
4,Davis & Parrish,Minnesota DP,Minnesota
4,Johnson & Phoenix-Flood,Minnesota JP,Minnesota
4,Modi & Toth,NYU TM,NYU
4,Agbede & Rubin,Northwestern AR,Northwestern
4,Chuang & Deo,Northwestern DC,Northwestern
4,Souchet & Stamenkovic Diez,Northwestern SS,Northwestern
4,Tarnowski & Riggs,Samford TR,Samford
4,Chalamalasetty & Feinstein,Texas CF,Texas
4,Fleming & Tsan,UC Berkeley FT,UC Berkeley
4,Cavanaugh & Anderson McElligott,Iowa CA,Iowa
4,Harris & Spiers,Kansas HS,Kansas
4,Revare & Soper,Kansas RS,Kansas
4,Wilkus & Williams,Kansas WW,Kansas
4,Gabay & Slish,Kentucky GS,Kentucky
4,Adam & McBlain,Kentucky MA,Kentucky
4,Gao & Shih,Michigan SG,Michigan
4,Bhadani & Agrawal,Southern California BA,Southern California
4,Lassen & Powers,Wyoming PL,Wyoming
