Wins,Name,Code,School
5,Gabay & Bisevac,Kentucky GB,Kentucky
5,Stockstill & Rimpson,Kentucky SR,Kentucky
5,Keller & Dal Pra,West Georgia KD,West Georgia
4,Davis & Parrish,Minnesota DP,Minnesota
4,Herzer & Phoenix-Flood,Minnesota PH,Minnesota
4,El-Sharif & Yarlagadda,Pennsylvania EY,Pennsylvania
4,Channa & Griffin,Southern California CG,Southern California
3,Prost & Wells,Minnesota PW,Minnesota
3,Ziabkin & Layden,NYU ZL,NYU
3,Bhadani & Agrawal,Southern California BA,Southern California
2,Rea & Connor,Navy RC,Navy
2,Mirza & Rueda,Southern California MR,Southern California
1,Moreno & Zabolio,Gonzaga MZ,Gonzaga
1,Benson & Haber-Fawcett,Minnesota HB,Minnesota
1,Harker & Sharman,Kansas HS,Kansas
1,Johnston & Wall,Weber State JW,Weber State
