Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Maya,El-Sharif,Pennsylvania EY,Pennsylvania,PA,117.2,58.7,175.7,3.5,176.76,0.71
2,Khamani,Griffin,Southern California CG,Southern California,CA,116.9,58.4,175.3,2.33,175.48,13.71
3,Sophia,Dal Pra,West Georgia KD,West Georgia,GA,116.8,58.4,174.8,4.17,175.27,92.18
4,Jordan,Keller,West Georgia KD,West Georgia,GA,116.3,58.3,174.1,4.17,174.56,19.32
5,Owen,Phoenix-Flood,Minnesota PH,Minnesota,MN,116.2,58.1,174.6,3,175.13,6.21
6,Anna,Stockstill,Kentucky SR,Kentucky,KY,116.13,58,174.24,3,174.7,32.33
7,Jeremiah,Rimpson,Kentucky SR,Kentucky,KY,116.13,58,174,3,174.94,53.63
8,Dhruv,Channa,Southern California CG,Southern California,CA,116.1,58,174.2,2.33,173.82,55.73
9,Anish,Bhadani,Southern California BA,Southern California,CA,115.7,57.9,173.7,3,173.99,12.12
10,Ariel,Gabay,Kentucky GB,Kentucky,KY,115.7,57.9,173.1,3,174.08,20.08
11,Jack,Herzer,Minnesota PH,Minnesota,MN,115.7,57.8,173.6,3,173.86,4.03
12,Armaan,Yarlagadda,Pennsylvania EY,Pennsylvania,PA,115.7,57.8,173.4,3.5,173.89,58.55
13,Hana,Bisevac,Kentucky GB,Kentucky,KY,115.7,57.8,173.2,3,173.92,92.56
14,Adarsh,Agrawal,Southern California BA,Southern California,CA,115.6,57.8,173.3,3,173.42,64.63
15,Truman,Connor,Navy RC,Navy,MD,115.5,57.8,173.1,3.5,172.91,88.56
16,J,Parrish,Minnesota DP,Minnesota,MN,115.5,57.7,173.3,3.17,173.96,83.35
17,Ryan,Davis,Minnesota DP,Minnesota,MN,115.3,57.6,173.1,3.17,174.07,43.57
18,Caleb,Prost,Minnesota PW,Minnesota,MN,115.2,57.6,172.6,2.67,173.2,82.72
19,Max,Layden,NYU ZL,NYU,NY,115.1,57.6,172.5,2,172.62,72.38
20,Ivan,Ziabkin,NYU ZL,NYU,NY,114.9,57.5,172.4,2,172.62,70.16
21,Kacee,Wells,Minnesota PW,Minnesota,MN,114.8,57.3,171.9,2.67,172.45,36.99
22,Max,Johnston,Weber State JW,Weber State,UT,114.7,57.4,172.3,3,171.68,46.22
23,Ethan,Wall,Weber State JW,Weber State,UT,114.7,57.4,172.2,3,171.84,85.54
24,Sabeeh,Mirza,Southern California MR,Southern California,CA,114.67,57.4,171.84,2.17,143.6,42.13
25,Tyler,Zabolio,Gonzaga MZ,Gonzaga,WA,114.6,57.4,171.8,3.17,171.59,79.78
26,Armen,Rea,Navy RC,Navy,MD,114.6,57.3,171.7,3.5,171.17,35.77
27,Zoey,Benson,Minnesota HB,Minnesota,MN,114.5,57.4,171.5,3.33,170.93,53.52
28,Andrea,Moreno,Gonzaga MZ,Gonzaga,WA,114.4,57.3,171.5,3.17,171.36,33.59
29,Shea,Rueda,Southern California MR,Southern California,CA,114.13,57.2,170.76,2.17,142.53,19.55
30,Benjy,Haber-Fawcett,Minnesota HB,Minnesota,MN,114.1,57.1,170.1,3.33,169.58,24.82
31,Sasha,Sharman,Kansas HS,Kansas,KS,114,57,170.4,3,170.83,66.45
32,Averi,Harker,Kansas HS,Kansas,KS,113.5,56.7,170.3,3,170.65,13.22
