Place,First,Last,Entry,School,State,Pts -1HL,Pts,Pts -2HL,Z2,Ballots
1,Maggie,Matzen,James Madison KM,James Madison,VA,116.40,174.80,58.30,175.32,"28.9,29.2,29.1,29.5,29.2,28.9"
2,Maggie,Stearns,Emory PS,Emory,GA,116.20,174.10,58.10,174.41,"29.3,29.1,29.2,29,28.9,28.6"
3,Madeleine,Pelli,Emory PS,Emory,GA,116.10,174.00,58.00,174.20,"29.4,29.2,29,28.9,29,28.5"
4,Giavanna,Kardos,James Madison KM,James Madison,VA,116.10,173.80,58.10,173.72,"28.8,29,29.2,29.3,29.1,28.4"
5,Iliana,Carrillo,UT San Antonio CG,UT San Antonio,TX,115.73,173.28,57.80,174.12,"28.9,28.8,29.1,29.1,28.5"
6,Kole,Ingram,Western Kentucky IP,Western Kentucky,KY,115.60,173.76,57.80,174.08,"29.9,28.8,28.2,28.9,29"
7,Ameya,Puranik,Western Kentucky IP,Western Kentucky,KY,115.60,173.40,57.80,173.93,"29.5,28.9,28.3,29,28.8"
8,Amira,Shananier,George Mason RS,George Mason,VA,115.60,173.30,57.80,173.42,"28.9,28.9,28.9,29.1,28.6,28.9"
9,Connie,Jongkind,Texas JB,Texas,TX,115.50,172.90,57.70,172.80,"28.3,29.1,28.8,29,28.9,28.8"
10,China,Goodson,UT San Antonio CG,UT San Antonio,TX,115.47,173.04,57.40,174.35,"29.5,28.7,28.7,29.2,28.1"
11,Lucas,Tiffany,James Madison PT,James Madison,VA,115.40,173.00,57.90,173.19,"28.9,29.1,28.4,29.4,28.2,29"
12,Tinghan,Wang,Emory CW,Emory,GA,115.40,172.80,57.80,172.44,"29,28.6,29.1,28.8,28.3,29"
13,Samantha,Catapang,Cal State Fullerton CD,Cal State Fullerton,CA,115.40,172.80,57.60,173.48,"29.1,28.8,29.2,28.8,28.7,28.2"
14,Brenda,Reyes,George Mason RS,George Mason,VA,115.30,173.10,57.60,173.07,"28.7,28.8,28.8,29,28.7,29.1"
15,Asa,Bodenhorn,Missouri State BC - ONLINE,Missouri State,MO,115.30,173.00,57.70,173.66,"28.8,29.2,28.9,28.7,28.9,28.5"
16,Israel,Dominguez,Cal State Fullerton CD,Cal State Fullerton,CA,115.30,173.00,57.70,173.50,"29,28.9,29.1,28.6,28.8,28.6"
17,Maria,Pinto,James Madison PT,James Madison,VA,115.20,172.90,57.40,172.10,"28.7,29.2,28.5,29.2,28.6,28.7"
