Wins,Name,Code,School
6,Aziz & Satterfield,Liberty AS,Liberty University
5,Corvalan & Esteves,George Mason CE,George Mason University
5,Fritz & Garner,Liberty FG,Liberty University
5,Lugo & Tooley,Liberty LT,Liberty University
5,Heckel & Yoon,Liberty HY,Liberty University
5,Sanchez & Flores Palacios,Southwestern FS - ONLINE,Southwestern College
4,Chunduri & Gupta,Georgia Institute of Tech GC,Georgia Institute of Technology
4,Peotter & Duggal,Indiana PD,Indiana University
4,Alexander & Bush,Samford AB - ONLINE,Samford University
4,Freeman & Gerber,United States Military FG,United States Military Academy
4,MacDonnell & Chau,United States Military MC,United States Military Academy
4,Roberts & Lovering,West Georgia RL,West Georgia
3,Neale & Rudolph,George Mason NR,George Mason University
3,Noye & Andrade,George Mason NA,George Mason University
3,Etienne & Wiehe,Liberty EW,Liberty University
3,Hughes & Klain,Navy HK,Navy
3,Delgado & Pyke-Sharpe,NYU DP - ONLINE,New York University
3,Arreola & Dutra,Southwestern AD - ONLINE,Southwestern College
3,Anteen & Rowe,United States Military AR,United States Military Academy
3,Beguiristain & Glover,Georgia BG,University of Georgia
3,Barazi & Aqeel,Houston BA,University of Houston
3,Naidugari & Johnson,Louisville NJ - ONLINE,University of Louisville
3,Alonzo & Jackson,UT San Antonio AJ,UT San Antonio
3,Grantham & Palau,UT San Antonio GP,UT San Antonio
3,Lindsay & Hart,Wake Forest LH,Wake Forest University
2,Attar & Patino,Boston College AP,Boston College
2,Macaulay & Lambert,Navy ML,Navy
2,Galvan & Bolger,NYU GB - ONLINE,New York University
2,Dorris & Doyle,Northern Iowa DD - ONLINE,Northern Iowa
2,Hand & Flores,Schreiner Unviersity FH - ONLINE,Schreiner Unviersity
2,Cruz & Samworth,Towson CS,Towson University
2,Lopez & Ellis,Houston LE,University of Houston
2,Bouchamaoui & Sferrazza,Wake Forest SB,Wake Forest University
1,Khatib & Ding,Indiana KD,Indiana University
1,Krug & Reynolds,James Madison KR,James Madison University
1,Kaptur & Lopez,Navy KL,Navy
1,Garcia & Davis,Schreiner Unviersity GD - ONLINE,Schreiner Unviersity
