Wins,Name,Code,School
6,Cooper & Neal,Missouri State Quentin Cooper & Nico Neal,Missouri State University
5,Sanchez & Sanchez,Southwestern Karina Sanchez & Ana Sanchez,Southwestern College
5,Augustine & Ervin,Kentucky Maddie Augustine & Wheezy Ervin,University of Kentucky
4,Burns & Granger,Missouri State Connor Burns & James Granger,Missouri State University
4,Anjan Roy,Missouri State Anjan Roy,Missouri State University
4,Severson & Kleiman,Iowa Ben Kleiman & Lily Severson,University of Iowa
3,Perez Rivas & Perez Rivas,Cal State Fullerton Dyego Perez Rivas & Bryan Perez Rivas,Cal State Fullerton
2,Delgado & Ryals,Cal State Fullerton Norma Delgado & Liam Ryals,Cal State Fullerton
2,Jain & Theiding,NYU Anuj Jain & Callum Theiding,New York University
2,Chapman & Mendez,Northern Iowa Quinci Chapman & Carolina Mendez,Northern Iowa
1,Khade & Joshi,NYU Akhil Khade & Anaya Joshi,New York University
0,mclaughlin & Lopez,UC Davis eliana mclaughlin & Delmy Lopez,UC Davis
