Wins,Name,Code,School
5,Reed & Wright,George Mason RW,George Mason University
5,Davis & Fuchs,George Mason DF,George Mason University
5,Cunningham & Layton,Liberty CL,Liberty University
4,Balda & Rinehart,James Madison BR,James Madison University
3,Conway & Pelletier,James Madison CP,James Madison University
2,Richter & Rodak,George Mason RR,George Mason University
2,Mishra & Oehler,James Madison MO,James Madison University
2,Connor & Rea,Navy CR,Navy
1,Foos & Hoegerl,Liberty FH,Liberty University
1,Christ & Persaud,Towson CP,Towson University
