Wins,Name,Code,School
7,Park & Barrett,Michigan PB,University of Michigan
6,Bald & Cai,Dartmouth BC,Dartmouth College
6,Gallagher & Hecht,Emory GH,Emory University
6,Deo & Rubin,Northwestern DR,Northwestern University
6,Revare & Marshall,Kansas RM,University of Kansas
5,Ortega & Medina,CSU Long Beach OM - ONLINE,CSU Long Beach
5,Conry & Piekut,Emory CP,Emory University
5,Maxwell & Rupp,Emory MR,Emory University
5,Lobo & Yang,Emory LY,Emory University
5,Cowan & Sayers,Georgetown CS,Georgetown
5,Gusis & Lewis,Michigan State GL,Michigan State University
5,Pacconi & Souchet,Northwestern PS,Northwestern University
5,Schultz & Larson,Kansas SL,University of Kansas
5,Adam & McBlain,Kentucky AM,University of Kentucky
5,Shah & Shih,Michigan SS,University of Michigan
5,Leverett & Sencion,Wake Forest LS,Wake Forest University
4,T. Louis & Cohn,Binghamton TC,Binghamton University
4,Cai & Guddati,Dartmouth CaGu,Dartmouth College
4,Kim & Pierce,Emory KP,Emory University
4,Deshpande & Sridharan,Harvard DS,Harvard
4,Price & Kochel,Macalester PK,Macalester College
4,Makinde & Saigal,NYU MS,New York University
4,Anderson & Feinstein,Texas AF,Texas
4,Menotti & Reichel,UC Berkeley MR,"University of California, Berkeley"
4,Tsan & Boguslavsky,UC Berkeley TB,"University of California, Berkeley"
4,Bilicki & Weimar,Iowa BW,University of Iowa
4,Anderson McElligott & Parfenoff,Iowa AP,University of Iowa
4,Willingham & Williams,Kansas WW,University of Kansas
4,Wilkus & Harris,Kansas WH,University of Kansas
4,Esmailzadeh & Shetty,Michigan ES,University of Michigan
4,Bathily & wolfe,Wake Forest BW,Wake Forest University
4,Bressler & Mojica,Wake Forest BM,Wake Forest University
4,Keller & Dal Pra,West Georgia KD,West Georgia
3,King & Reza Husain,Binghamton KR,Binghamton University
3,Carpenter & Goldberg,Dartmouth CG,Dartmouth College
3,Katyal & Rao,Dartmouth KR,Dartmouth College
3,Ben-Abdallah & Jones,Dartmouth BJ,Dartmouth College
3,Ravikumar & Tai,Emory RT,Emory University
3,okahata & Sanneh,Emory OS,Emory University
3,Bellam & Shirts,Emory BS,Emory University
3,Dawson & Weinhardt,Gonzaga DW,Gonzaga University
3,Aoki & Bodet,Harvard AB,Harvard
3,Balda & Rinehart,James Madison BR,James Madison University
3,Bennett & Shehzad,Michigan State BS - ONLINE,Michigan State University
3,Jarman & Scully,Michigan State JS,Michigan State University
3,Arney & Lundberg,Northwestern AL,Northwestern University
3,Urfalian & Sen,UC Berkeley US,"University of California, Berkeley"
3,Gabay & Slish,Kentucky GS,University of Kentucky
3,Agustin & Ou,Michigan AO,University of Michigan
3,Davidov & Saudek,Michigan DS,University of Michigan
2,Dye & Kohlenberger,Cornell DK,Cornell
2,Mao & Morley,Dartmouth MM,Dartmouth College
2,Feldman & Waghray,Emory FW,Emory University
2,Pawley & Valame,Georgetown PV,Georgetown
2,Conway & Pelletier,James Madison CP,James Madison University
2,Haber-Fawcett & Kathner,Minnesota HK,Minnesota
2,Usenov & Wells,Minnesota UW,Minnesota
2,Arceo & Zimmerman,Northwestern AZ,Northwestern University
2,Horton & Yarborough,Southern Nazarene YH,Southern Nazarene University
1,Meza & Martinez,Cal State Fullerton MM - ONLINE,Cal State Fullerton
1,Delgado & Ryals,Cal State Fullerton DR - ONLINE,Cal State Fullerton
1,Barratt & Diop,Cornell BD,Cornell
1,Escobar & Gurrola,CSU Long Beach EG - ONLINE,CSU Long Beach
1,Facey & Kundu,Harvard FK,Harvard
