Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,John,Marshall,Kansas RM,Kansas,KS,147.60,88.60,206.50,4.43,206.61,78.36,"W29.3,W29.7,W29.7,W29.2,W29.6,W29.5,L29.5"
2,Nora,Cai,Dartmouth BC,Dartmouth,NH,147.50,88.50,206.60,4.17,206.27,18.49,"L29.4,W29.4,W29.5,W29.7,W29.6,W29.5,W29.5"
3,Holland,Bald,Dartmouth BC,Dartmouth,NH,147.30,88.50,206.20,4.17,205.87,38.15,"L29.2,W29.2,W29.6,W29.6,W29.7,W29.3,W29.6"
4,Jiyoon,Park,Michigan PB,Michigan,MI,147.20,88.30,206.10,4.43,206.31,44.51,"W29.4,W29.4,W29.2,W29.7,W29.5,W29.3,W29.6"
5,Graham,Revare,Kansas RM,Kansas,KS,147.10,88.30,206.10,4.43,205.98,71.24,"W29.2,W29.8,W29.5,W29.3,W29.5,W29.4,L29.4"
6,Daniel,Gallagher,Emory GH,Emory,GA,147.10,88.10,206.00,4.57,206.37,69.38,"W29.3,W29.4,W29.4,W29.7,L29.2,W29.7,W29.3"
7,Akash,Deo,Northwestern DR,Northwestern,IL,147.00,88.10,205.80,4.14,209.77,73.06,"L29.1,W29.7,W29.3,W29.4,W29.4,W29.3,W29.6"
8,Jeremiah,Cohn,Binghamton TC,Binghamton,NY,146.90,88.20,205.70,3.86,205.86,21.15,"W29.5,L29.1,W29.6,W29.5,L29.2,L29.1,W29.7"
9,Eleanor,Barrett,Michigan PB,Michigan,MI,146.90,88.10,205.60,4.43,205.77,27.41,"W29.2,W29.5,W29.3,W29.5,W29.4,W29.4,W29.3"
10,Connelly,Cowan,Georgetown CS,Georgetown,DC,146.80,88.20,205.60,4.00,211.62,20.79,"W29.5,L29.1,W29.3,W29.4,L29.7,W29.1,W29.5"
11,Veronica,Rubin,Northwestern DR,Northwestern,IL,146.80,88.20,205.40,4.14,207.03,51.75,"L29,W29.6,W29.1,W29.5,W29.5,W29.2,W29.5"
12,Jared,Adam,Kentucky AM,Kentucky,KY,146.80,88.10,205.60,4.57,206.67,48.28,"W29.1,W29.1,W29.5,L29.6,W29.3,L29.3,W29.7"
13,Rita,Sencion,Wake Forest LS,Wake Forest,NC,146.80,88.10,205.50,4.00,205.79,4.04,"L29.2,W29.4,W29.3,W29.4,W29.5,L29.3,W29.4"
14,Margaret,Hecht,Emory GH,Emory,GA,146.70,88.00,205.40,4.57,205.72,93.22,"W29.1,W29.3,W29.2,W29.4,L29.3,W29.6,W29.5"
15,Joanna,Gusis,Michigan State GL,Michigan State,MI,146.70,88.00,205.40,4.00,205.66,5.21,"W29.4,W29.2,W29.2,L29,L29.4,W29.5,W29.7"
16,Eli,T. Louis,Binghamton TC,Binghamton,NY,146.70,88.00,205.30,3.86,205.31,87.74,"W29.2,L28.7,W29.7,W29.4,L29.4,L29,W29.9"
17,Clara,Conry,Emory CP,Emory,GA,146.60,88.00,204.90,4.83,205.21,27.44,"W29.6,W29.1,W29.5,L28.7,W29.2,W29.5,L29.3"
18,Curtis,Ortega,CSU Long Beach OM - ONLINE,CSU Long Beach,CA,146.60,87.90,205.20,4.00,205.17,25.01,"W29.3,W29,L29.6,W29.2,W29.5,W29.2,L29.4"
19,Will,Kochel,Macalester PK,Macalester,MN,146.50,88.00,205.20,4.00,205.46,76.27,"W29.1,L29.1,W29.4,W29.4,L29.4,L29.2,W29.6"
20,Stephen,Lewis,Michigan State GL,Michigan State,MI,146.50,87.90,205.20,4.00,205.20,28.51,"W29.2,W29.3,W29.3,L29.3,L29.3,W29.3,W29.5"
21,Coralynn,Yang,Emory LY,Emory,GA,146.50,87.90,205.10,4.14,206.51,64.45,"W29.3,W29.3,L29.3,W29.3,L29.3,W29.1,W29.5"
22,Lenox,Leverett,Wake Forest LS,Wake Forest,NC,146.50,87.80,205.20,4.00,205.19,18.68,"L29.1,W29.6,W29.4,W29.3,W29.6,L29.1,W29.1"
23,Sam,Price,Macalester PK,Macalester,MN,146.40,87.70,205.00,4.00,205.43,35.45,"W29.3,L29.2,W29.2,W29.6,L29.2,L29,W29.5"
24,Bella,Piekut,Emory CP,Emory,GA,146.30,87.80,204.80,4.83,204.91,88.12,"W29.5,W29.2,W29.7,L28.8,W29,W29.4,L29.2"
25,Lauren,McBlain,Kentucky AM,Kentucky,KY,146.30,87.80,204.80,4.57,203.05,24.72,"W29,W29.2,W29.4,L29.4,W29.1,L29.2,W29.5"
26,Emmanuel,Makinde,NYU MS,NYU,NY,146.30,87.80,204.80,3.57,204.79,78.91,"W29.4,L29.1,W29.5,L29.3,W29.2,W29,L29.3"
27,Luna,Schultz,Kansas SL,Kansas,KS,146.20,87.80,204.70,4.71,204.93,97.73,"W29.3,W29.3,W29,W29,W29.5,L29.4,L29.2"
28,Jordan,Keller,West Georgia KD,West Georgia,GA,146.20,87.70,204.90,4.43,205.36,12.82,"W29.1,L29.1,W29.3,W29.3,W29.6,L29.4,L29.1"
29,Donald,Pierce,Emory KP,Emory,GA,146.20,87.70,204.60,3.57,206.91,99.21,"W29.3,L29.3,W29.2,L29.3,W29.1,L29.2,W29.2"
30,Niranjan,Deshpande,Harvard DS,Harvard,MA,146.20,87.70,204.50,4.57,204.15,55.16,"W29.5,W29.6,W29.3,W29.2,L28.7,L29.2,L29"
31,Alex,Mojica,Wake Forest BM,Wake Forest,NC,146.20,87.70,204.50,3.86,208.73,93.05,"W29.2,W29.2,L29.3,L28.6,W29.1,W29.4,L29.7"
32,Rose,Larson,Kansas SL,Kansas,KS,146.20,87.60,204.70,4.71,204.97,97.19,"W29.2,W29.2,W29.2,W28.9,W29.6,L29.2,L29.4"
33,Antonio,Souchet,Northwestern PS,Northwestern,IL,146.13,87.60,204.52,3.86,175.57,82.39,"W29.1,W,L28.9,L29.5,W29.3,W29.1,W29.4"
34,Avi,Shah,Michigan SS,Michigan,MI,146.10,87.70,204.40,3.71,204.83,93.47,"W29.3,L28.9,W29.3,W29.4,L29.1,W29.2,W29.2"
35,Spencer,Anderson McElligott,Iowa AP,Iowa,IA,146.10,87.60,204.10,3.29,201.70,20.36,"W29.3,L29.5,L29,W29,L29.6,W28.4,W29.3"
36,Silma,Bathily,Wake Forest BW,Wake Forest,NC,146.10,87.50,205.00,3.43,205.08,91.17,"W29.2,L29,L29.1,W29.1,W29.9,L29.2,W29.5"
37,Agastya,Sridharan,Harvard DS,Harvard,MA,146.10,87.50,204.60,4.57,204.17,59.25,"W29.6,W29.7,W29.2,W29.2,L28.8,L29.1,L29"
38,Cyrus,Esmailzadeh,Michigan ES,Michigan,MI,146.00,87.80,204.20,4.00,207.10,4.44,"W29.2,L29.3,W28.9,L29.3,W28.8,W29.3,L29.4"
39,Riley,Reichel,UC Berkeley MR,UC Berkeley,CA,146.00,87.70,204.20,3.86,206.78,91.69,"W29,W29.3,W29.3,L29.1,L28.7,W29.5,L29.3"
