Wins,Name,Code,School
6,Layton & Turner,Liberty LT,Liberty University
5,Foos & Sanders,Liberty FS,Liberty University
4,Cui & Nyberg,Binghamton CN,Binghamton University
4,Chen & Taxali,George Mason TC,George Mason University
4,Hoegerl & Emrich,Liberty/Rochester HE,Liberty University
4,Koenig & Shoemaker,Liberty KS,Liberty University
4,Ozcayir & Rahman,Rochester OR,University of Rochester
4,Carrillo & Goodson,UT San Antonio CG,UT San Antonio
3,Shihab & O'Connor,George Mason OS,George Mason University
3,Tiffany & Pinto,James Madison TP,James Madison University
3,McConville & Gowel,James Madison MG,James Madison University
3,Lawrence & Satterfield,Navy LS,Navy
3,aldebot ho & Ludka,Suffolk AL,Suffolk University Debate
3,Wilder & Zhu,United States Military WZ,United States Military Academy
2,Ren & Uones,Binghamton RU,Binghamton University
2,Jorquez & Schmidtler,Liberty JS,Liberty University
1,Patel & Lopez,George Mason LP,George Mason University
1,MacDonnell & Freeman,United States Military MF,United States Military Academy
1,Kang & Tong,United States Military KT,United States Military Academy
