Wins,Name,Code,School
5,Anteen & Rowe,United States Military AR,United States Military Academy
4,Noye & Neale,George Mason NN,George Mason University
4,Corvalan & Andrade,George Mason CA,George Mason University
4,Heckel & Satterfield,Liberty HS,Liberty University
4,Chau & Gerber,United States Military GC,United States Military Academy
4,Grantham & Palau,UT San Antonio GP,UT San Antonio
3,Loyer & Patel,Binghamton LP,Binghamton University
3,Esteves & Sullivan,George Mason SE,George Mason University
3,Coffey & Aziz,Liberty CA,Liberty University
3,Plank & Yoon,Liberty PY,Liberty University
3,Lugo & Tooley,Liberty LT,Liberty University
3,Delgado & Pyke-Sharpe,NYU DP,New York University
3,Mudiay & Rosen,Towson MR,Towson University
3,Kazarian & Vozniak,Rochester KV,University of Rochester
2,Bohnke & Brown,Binghamton BB,Binghamton University
2,Dunleavy & Meshberg,Binghamton DM,Binghamton University
2,Rudolph & Bekurs,George Mason BR,George Mason University
2,Wallace & Wiehe,Liberty WW,Liberty University
2,Fritz & Garner,Liberty FG,Liberty University
2,Alexander & Setzler,Samford AS,Samford University
2,Gebremedehin & Samworth,Towson GS,Towson University
1,Condemi & Silva,Binghamton CS,Binghamton University
1,McLaughlin & Dean,Binghamton MD,Binghamton University
1,nandula & Ratnala,George Mason NR,George Mason University
1,Emmert-Hart & Krug,James Madison EK,James Madison University
1,Buxton & Owen,Liberty BO,Liberty University
1,Sears & Wellmann,Suffolk SW,Suffolk University Debate
