Wins,Name,Code,School
5,Shelat & MacDonnell,West Point MS,West Point
5,Rowe & Anteen,West Point AR,West Point
4,Heckel & Fritz,Liberty HF,Liberty University
4,Gerber & Freeman,West Point FG,West Point
3,Bryen & Harshbarger,Binghamton BH,Binghamton University
3,Meshberg & McLaughlin,Binghamton MM,Binghamton University
3,Etienne & Tooley,Liberty ET,Liberty University
3,Aziz & Satterfield,Liberty AS,Liberty University
3,Alzgoul & Bonsu,NYU AB,New York University
3,Wellmann & Israel,Suffolk IW,Suffolk University Debate
3,Lamb & Darden,Towson LD,Towson University
2,Gonzalez & Stone,NYU GS,New York University
2,Tseng & Yang,NYU TY,New York University
2,Martelly & Wu,NYU MW,New York University
2,aldebot ho & Ulloa,Suffolk AU,Suffolk University Debate
2,Gebremedehin & Rosen,Towson GR,Towson University
2,Chub & Vozniak,Rochester CV,University of Rochester
1,Blank & Ponce Lemus,Suffolk BP,Suffolk University Debate
1,Cruz & Samworth,Towson CS,Towson University
1,Johnson & Mudiay,Towson JM,Towson University
1,Gardner & Gimignani,Towson GG,Towson University
1,Fu & Dutta,Rochester FD,University of Rochester
