Wins,Name,Code,School
8,Gallagher & Hecht,Emory GH,Emory University
7,Makinde & Saigal,NYU MS,New York University
7,Revare & Marshall,Kansas RM,University of Kansas
7,Adam & McBlain,Kentucky AM,University of Kentucky
6,Ortega & Medina,CSU Long Beach OM,CSU Long Beach
6,Bald & Cai,Dartmouth BC,Dartmouth College
6,Lobo & Yang,Emory LY,Emory University
6,Cowan & Sayers,Georgetown CS,Georgetown
6,Gusis & Lewis,Michigan State GL,Michigan State University
6,Deo & Rubin,Northwestern DR,Northwestern University
6,Larson & Schultz,Kansas LS,University of Kansas
6,Shah & Shih,Michigan SS,University of Michigan
6,Leverett & Sencion,Wake Forest LS,Wake Forest University
5,T. Louis & Cohn,Binghamton TC,Binghamton University
5,Geevarghese & Young,Emory GY,Emory University
5,Conry & Piekut,Emory CP,Emory University
5,Miklovis & Montford,Michigan State MM,Michigan State University
5,Pacconi & Souchet,Northwestern PS,Northwestern University
5,Anderson & Feinstein,Texas AF,Texas
5,Sen & Urfalian,UC Berkeley SU,"University of California, Berkeley"
5,Menotti & Reichel,UC Berkeley MR,"University of California, Berkeley"
5,Williams & Willingham,Kansas WW,University of Kansas
5,Rimpson & Stockstill,Kentucky RS,University of Kentucky
5,Barrett & Park,Michigan BP,University of Michigan
5,Agustin & Ou,Michigan AO,University of Michigan
5,Esmailzadeh & Sharma,Michigan ES,University of Michigan
5,Bhadani & Rahman,Southern California BR,University of Southern California
5,Karchmer & Penumetcha,UTD KP,UTD
5,Hale & Ravi,UTD HR,UTD
5,Sendejas & Karthik,UTD SK,UTD
5,Elliott & Perez,Wake Forest EP,Wake Forest University
5,Bathily & wolfe,Wake Forest BW,Wake Forest University
4,Guddati & Katyal,Dartmouth GK,Dartmouth College
4,Maxwell & Rupp,Emory MR,Emory University
4,Kim & Pierce,Emory KP,Emory University
4,Reed & Wright,George Mason RW - ONLINE,George Mason University
4,Gines & Yeshitila,Harvard GY,Harvard
4,Pelletier & Conway,James Madison CP,James Madison University
4,Balda & Rinehart,James Madison BR,James Madison University
4,Arney & Lundberg,Northwestern AL,Northwestern University
4,Riggs & Pack,Samford RP - ONLINE,Samford University
4,Boguslavsky & Tsan,UC Berkeley BT,"University of California, Berkeley"
4,Ippagunta & Potdar,Georgia IP,University of Georgia
4,Parfenoff & Anderson McElligott,Iowa PA,University of Iowa
4,Wilkus & Harris,Kansas WH,University of Kansas
4,Gabay & Slish,Kentucky GS,University of Kentucky
4,Channa & Sood,Southern California CS,University of Southern California
4,Bressler & Mojica,Wake Forest BM,Wake Forest University
4,McManus & Wentling,Wichita State MW - ONLINE,Wichita State University
3,Treulich & King,Binghamton TK,Binghamton University
3,Wiessner & Meza,Cal State Fullerton WM,Cal State Fullerton
3,Guo & Rao,Dartmouth GR,Dartmouth College
3,Fuchs & Davis,George Mason DF - ONLINE,George Mason University
3,Greenberg & Zinober,Georgetown GZ,Georgetown
3,Dawson & Weinhardt,Gonzaga DW - ONLINE,Gonzaga University
3,Mishra & Oehler,James Madison MO,James Madison University
3,Short & Cunningham,Liberty SC,Liberty University
3,Connor & Rea,Navy CR,Navy
3,Lai & Lai,Stanford LL - ONLINE,Stanford Debate Society
3,Patterson & King,Trinity PK,Trinity University
3,Yadagiri & Traxler,Houston YT,University of Houston
3,Bilicki & Weimar,Iowa BW,University of Iowa
3,Bath & Ain,Kansas BA,University of Kansas
3,Baba & Davidov,Michigan BD,University of Michigan
3,Saudek & Shetty,Michigan SaSh,University of Michigan
3,Troup & Mills,Southern California TM,University of Southern California
3,Cline & Shaw,Wake Forest CS,Wake Forest University
3,Molina Chavez & Griffith,Wichita State GM - ONLINE,Wichita State University
2,Smith & Saxena,Arizona State SS - ONLINE,Arizona State
2,Jones & Ben-Abdallah,Dartmouth JB,Dartmouth College
2,Carpenter & Goldberg,Dartmouth CG,Dartmouth College
2,Pawley & Valame,Georgetown VP,Georgetown
2,Layton & Turner,Liberty LT,Liberty University
2,Wells & Usenov,Minnesota UW - ONLINE,Minnesota
2,Lawrence & Satterfield,Navy LS,Navy
2,Kidd & Schnitzer,Houston KS,University of Houston
2,Ozcayir & Rahman,Rochester OR,University of Rochester
1,Cui & Nyberg,Binghamton CN,Binghamton University
1,Dye & Lim,Cornell DL,Cornell
1,Midithuri & Fish,Indiana MF,Indiana University
