Wins,Name,Code,School
6,Hoegerl & Wineman,Liberty HW,Liberty University
6,Shoemaker & Koenig,Liberty SK,Liberty University
4,Thacker & Barratt,Cornell TB,Cornell
4,Katherine Stockstill,Southern Nazarene KS,Southern Nazarene University
4,Barden & McKinney,Trinity MB,Trinity University
4,Chau & Zhu,West Point CZ,United States Military Academy
3,Feyes & Draeger,Kansas State FD,Kansas State
3,Jorquez & Schmidtler,Liberty JS,Liberty University
3,Kang & Wilder,West Point KW,United States Military Academy
3,Hawley & Widi,Wyoming HW,University of Wyoming
2,Belloso & Makfinsky,Monmouth BM,Monmouth University
2,McFerren & Baker,Southern Nazarene MB,Southern Nazarene University
2,Vazquez & Boyd,North Texas BV,University of North Texas
1,Ramirez & Zupkay,Monmouth RZ,Monmouth University
1,Boyle & Carbone,Monmouth BC,Monmouth University
