Wins,Name,Code,School
5,Kidd & Schnitzer,Houston KS,University of Houston
5,Wofford & Jones,North Texas WJ,University of North Texas
5,Karthik & Sendejas,UTD KS,UTD
4,Turner & Layton,Liberty TL,Liberty University
4,Opron & Song,West Point OS,United States Military Academy
4,Blazquez & Wilson,UT San Antonio BW,UT San Antonio
3,Sand & Sum,Kansas State SS,Kansas State
3,Waheed & Smith,Oklahoma SW,Oklahoma
3,Yarborough & Hough,Southern Nazarene YH,Southern Nazarene University
3,King & Patterson,Trinity KP,Trinity University
3,Armstrong & Lathish,Houston AL,University of Houston
3,Campbell & Christ,Wyoming/Towson CC,University of Wyoming
2,Robertson & Spurlock,Kansas State RS,Kansas State
2,Toro & Asbury,Oklahoma TA,Oklahoma
2,Smith & Walker,Central Oklahoma SW,University of Central Oklahoma
1,Ardis & Day,Kansas State AD,Kansas State
1,Jain & Theiding,NYU JT,New York University
1,Schlichenmeyer & Birkby,Texas AandM University - College Station SB,Texas AandM University - College Station
