Wins,Name,Code,School
6,Gusis & Lewis,Michigan State GL,Michigan State University
6,Revare & Marshall,Kansas MR,University of Kansas
6,Larson & Schultz,Kansas LS,University of Kansas
5,T. Louis & Cohn,Binghamton TC,Binghamton University
5,Ortega & Medina,CSU Long Beach OM,CSU Long Beach
5,Bald & Cai,Dartmouth BC,Dartmouth College
5,Lobo & Yang,Emory LY,Emory University
5,Conry & Piekut,Emory CP,Emory University
5,Kim & Pierce,Emory KP,Emory University
5,Maxwell & Rupp,Emory MR,Emory University
5,Miklovis & Montford,Michigan State MM,Michigan State University
5,Adam & McBlain,Kentucky AM,University of Kentucky
5,Barrett & Park,Michigan BP,University of Michigan
4,Chatur & Lassen,Baylor LC,Baylor University
4,Carpenter & Goldberg,Dartmouth CG,Dartmouth College
4,Cai & Wallace,Dartmouth CW,Dartmouth College
4,Park & okahata,Emory PO,Emory University
4,Geevarghese & Young,Emory GY,Emory University
4,Gallagher & Hecht,Emory GH,Emory University
4,Song & Tahirkheli,Emory ST,Emory University
4,Wright & Reed,George Mason WR,George Mason University
4,Sayers & Cowan,Georgetown CS,Georgetown
4,Dawson & Weinhardt,Gonzaga DW,Gonzaga University
4,Haber-Fawcett & Herzer,Minnesota HH,Minnesota
4,Arney & Lundberg,Northwestern AL,Northwestern University
4,Deo & Rubin,Northwestern DR,Northwestern University
4,Anderson & Feinstein,Texas AF,Texas
4,Abad & Khan,Houston AK,University of Houston
4,Bilicki & Weimar,Iowa BW,University of Iowa
4,Willingham & Williams,Kansas WW,University of Kansas
4,Gabay & Slish,Kentucky GS,University of Kentucky
4,Shah & Shih,Michigan SS,University of Michigan
4,Esmailzadeh & Sharma,Michigan ES,University of Michigan
4,Karchmer & Penumetcha,UTD KP,UTD
4,Leverett & Sencion,Wake Forest LS,Wake Forest University
4,Bathily & wolfe,Wake Forest BW,Wake Forest University
4,Elliott & Perez,Wake Forest EP,Wake Forest University
4,Dal Pra & Keller,West Georgia DK,West Georgia
3,Rao & Katyal,Dartmouth KR,Dartmouth College
3,Davis & Fuchs,George Mason DF,George Mason University
3,Raman & Greenberg,Georgetown RG,Georgetown
3,Valame & Pawley,Georgetown VP,Georgetown
3,Deshpande & Sridharan,Harvard DS,Harvard
3,Pelletier & Conway,James Madison PC,James Madison University
3,Balda & Rinehart,James Madison BR,James Madison University
3,Short & Cunningham,Liberty CS,Liberty University
3,Jarman & Scully,Michigan State JS,Michigan State University
3,Bennett & Shehzad,Michigan State BS,Michigan State University
3,Cooper & Neal,Missouri State CN,Missouri State University
3,Connor & Rea,Navy CR,Navy
3,Martinez & Ouyang,Northwestern MO,Northwestern University
3,Pacconi & Souchet,Northwestern PS,Northwestern University
3,Karunadasa & Naman,Texas KN,Texas
3,Doratt & Fernandez,Houston DF,University of Houston
3,Harris & Wilkus,Kansas HW,University of Kansas
3,Brown & Walawender,Kansas BW,University of Kansas
3,Spiers & Barreto,Kansas SB,University of Kansas
3,Ain & Bath,Kansas AB,University of Kansas
3,Rimpson & Stockstill,Kentucky RS,University of Kentucky
3,Shetty & Simha,Michigan ShSi,University of Michigan
3,Baba & Saudek,Michigan BS,University of Michigan
3,Mills & Mirza,Southern California MM,University of Southern California
3,Bradley & Reese,Southern California BrRe,University of Southern California
3,Karthik & Sendejas,UTD KS,UTD
3,Hale & Ravi,UTD HR,UTD
3,Sayoto & Hale,Wake Forest HS,Wake Forest University
3,Bressler & Mojica,Wake Forest BM,Wake Forest University
3,Forsyth & Kaidar-Heafetz,West Georgia FK,West Georgia
3,Carter & Fournier,Western Kentucky CF,Western Kentucky University
2,Smith & Saxena,Arizona State SS,Arizona State
2,Darwish & Benton,Baylor DB,Baylor University
2,Guo & Guddati,Dartmouth GG,Dartmouth College
2,Ravikumar & Tai,Emory TR,Emory University
2,Feldman & Waghray,Emory FW,Emory University
2,Rodak & Richter,George Mason RR,George Mason University
2,Fish & Silkes,Indiana FS,Indiana University
2,Fernando & Jain,Indiana FJ,Indiana University
2,Mishra & Oehler,James Madison MO,James Madison University
2,Ansari & Zi,Michigan State AZ,Michigan State University
2,Agrahara & gearring,Michigan State AG,Michigan State University
2,Zimmerman & Arceo,Northwestern AZ,Northwestern University
2,Houston & Davis,Oklahoma HD,Oklahoma
2,Gill & Pack,Samford GP,Samford University
2,Kidd & Schnitzer,Houston KS,University of Houston
2,McConnell & Suleman,Kansas MS,University of Kansas
2,Harker & Boyle,Kansas HB,University of Kansas
2,Augustine & Ervin,Kentucky AE,University of Kentucky
2,Agustin & Ou,Michigan AO,University of Michigan
2,Campbell & Hawley,Wyoming CH,University of Wyoming
2,Cline & Shaw,Wake Forest CS,Wake Forest University
2,Nguyen & Sampat,Wake Forest SN,Wake Forest University
2,Schintgen & StPeter,Western Kentucky SS,Western Kentucky University
2,Clementi & Shockley,Western Kentucky CS,Western Kentucky University
2,Molina Chavez & Griffith,Wichita State MG,Wichita State University
2,McManus & Wentling,Wichita State MW,Wichita State University
1,Jones & Ben-Abdallah,Dartmouth JB,Dartmouth College
1,Mao & Morley,Dartmouth MM,Dartmouth College
1,Kundu & Facey,Harvard FK,Harvard
1,Ramesh & Ye,Northwestern RY,Northwestern University
1,Smith & Toro,Oklahoma TS,Oklahoma
1,Levin & Doyle,Kansas LD,University of Kansas
1,Foust & Sharman,Kansas FS,University of Kansas
1,Audet-Abdulnour & Ledesma,Michigan AL,University of Michigan
1,Jackson & Wofford,North Texas JW,University of North Texas
0,Bodenhorn & Abdelhakiem,Missouri State AB,Missouri State University
0,Hammond & Scott,Samford HS,Samford University
