Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,John,Marshall,Kansas MR,Kansas,KS,118.20,59.10,177.30,3.67,177.47,91.87,"W29.4,W29.6,W29.6,W29.5,W29.5,W29.7"
2,Graham,Revare,Kansas MR,Kansas,KS,117.80,58.90,176.60,3.67,176.32,13.85,"W29.3,W29.7,W29.1,W29.3,W29.6,W29.6"
3,Eleanor,Barrett,Michigan BP,Michigan,MI,117.70,58.90,176.30,3.33,177.91,19.17,"W29,W29.6,W29.5,W29.5,W29.3,L29.4"
4,Daniel,Gallagher,Emory GH,Emory,GA,117.70,58.80,175.40,3.67,175.11,14.24,"W29.4,W29.6,L29.4,W29.5,W29.4,L28.1"
5,Jared,Adam,Kentucky AM,Kentucky,KY,117.60,58.80,176.30,3.67,176.78,26.15,"W29.4,W29.5,W29.3,W29.5,L29.2,W29.4"
6,Eli,T. Louis,Binghamton TC,Binghamton,NY,117.50,58.80,176.60,3.33,177.37,68.67,"L29.4,W30,W29.4,W29.3,W29.1,W29.4"
7,Margaret,Hecht,Emory GH,Emory,GA,117.50,58.80,175.10,3.67,174.82,99.02,"W29.6,W29.5,L29.5,W29.2,W29.3,L28"
8,Jiyoon,Park,Michigan BP,Michigan,MI,117.40,58.80,176.10,3.33,177.74,10.56,"W29.1,W29.1,W29.6,W29.4,W29.4,L29.5"
9,Curtis,Ortega,CSU Long Beach OM,CSU Long Beach,CA,117.40,58.70,175.70,3.83,176.26,15.86,"W28.7,W29.4,W29.6,W29.2,W29.3,L29.5"
10,Stephen,Lewis,Michigan State GL,Michigan State,MI,117.40,58.70,175.60,3.83,176.75,23.74,"W29.6,W29.4,W29.3,W29.3,W29.4,W28.6"
11,Joanna,Gusis,Michigan State GL,Michigan State,MI,117.30,58.70,175.50,3.83,176.63,6.47,"W29.5,W29.3,W29.4,W29.1,W29.5,W28.7"
12,Nora,Cai,Dartmouth BC,Dartmouth,NH,117.20,58.60,175.70,3.67,176.09,6.92,"W29.1,W29.2,L29.3,W29.4,W29.4,W29.3"
13,Rahul,Penumetcha,UTD KP,UTD,TX,117.20,58.60,175.70,3.17,175.69,96.06,"W29.4,W29.3,W29.5,L29.3,W29,L29.2"
14,Holland,Bald,Dartmouth BC,Dartmouth,NH,117.20,58.60,175.60,3.67,175.83,56.07,"W29,W29.4,L29.2,W29.3,W29.3,W29.4"
15,Tony,Miklovis,Michigan State MM,Michigan State,MI,117.20,58.60,175.40,3.50,175.57,21.69,"L28.8,W29.3,W29.4,W29.2,W29.4,W29.3"
16,Daniel,Medina,CSU Long Beach OM,CSU Long Beach,CA,117.20,58.60,175.20,3.83,175.53,91.32,"W28.6,W29.3,W29.3,W29.4,W29.4,L29.2"
17,Jeremiah,Cohn,Binghamton TC,Binghamton,NY,117.10,58.60,176.00,3.33,176.57,42.65,"L29,W29.9,W29.2,W29.4,W29,W29.5"
18,Serena,Rupp,Emory MR,Emory,GA,117.10,58.60,175.40,3.83,175.45,28.76,"W29.3,W29.3,W29.6,W29,L28.7,W29.5"
19,Blaine,Montford,Michigan State MM,Michigan State,MI,117.10,58.50,175.70,3.50,175.95,16.16,"L29.1,W29.2,W29.5,W29,W29.3,W29.6"
20,Veronica,Rubin,Northwestern DR,Northwestern,IL,117.10,58.50,175.60,4.00,175.94,51.44,"W29.3,W29.2,W29.4,W29.1,L29.2,L29.4"
21,Rita,Sencion,Wake Forest LS,Wake Forest,NC,117.07,58.60,175.08,2.67,175.32,3.92,"W28.7,L29.2,L29.3,W29.3,W29.4"
22,Lauren,McBlain,Kentucky AM,Kentucky,KY,117.00,58.50,175.60,3.67,176.03,74.92,"W29.3,W29.2,W29.1,W29.4,L29.1,W29.5"
23,Leah,Goldberg,Dartmouth CG,Dartmouth,NH,117.00,58.50,175.50,3.33,175.60,48.73,"W29.4,L29.4,W29.3,W29.2,L29.1,W29.1"
24,Donald,Pierce,Emory KP,Emory,GA,117.00,58.50,175.40,3.67,175.50,91.22,"W29.2,W29.5,W29.3,L28.9,W29.2,W29.3"
25,Bella,Piekut,Emory CP,Emory,GA,117.00,58.50,175.40,3.50,176.20,80.45,"W29.3,W28.9,W29.3,L29.2,W29.2,W29.5"
26,Raleigh,Maxwell,Emory MR,Emory,GA,117.00,58.40,175.30,3.83,175.22,85.99,"W29.2,W29.2,W29.4,W29.2,L28.9,W29.4"
27,Aaron,Kim,Emory KP,Emory,GA,116.90,58.50,175.30,3.67,175.76,83.21,"W29.3,W29.2,W29.4,L29.1,W29.3,W29"
28,Eunji,Carpenter,Dartmouth CG,Dartmouth,NH,116.90,58.50,175.30,3.33,175.24,23.83,"W29.3,L29.3,W29.1,W29.4,L29,W29.2"
29,Cyrus,Esmailzadeh,Michigan ES,Michigan,MI,116.90,58.40,175.90,3.17,175.90,17.76,"W29,W29.1,L29.5,W30,L29.3,W29"
30,Coralynn,Yang,Emory LY,Emory,GA,116.80,58.60,174.80,4.00,175.64,54.43,"W28.8,W28.6,W29.4,W29.3,L29.3,W29.4"
31,Sean,Wallace,Dartmouth CW,Dartmouth,NH,116.80,58.50,175.20,3.83,175.45,68.28,"W28.8,L29.2,W29.6,W29.3,W29.4,L28.9"
32,Ari,Karchmer,UTD KP,UTD,TX,116.80,58.40,175.30,3.17,175.16,13.59,"W29.3,W29.2,W29.4,L29.1,W29.2,L29.1"
