Wins,Name,Code,School
6,Darwish & Lassen,Baylor DL,Baylor University
5,Parrish & Wells,Minnesota PW,Minnesota
5,Brown & Walawender,Kansas BW,University of Kansas
4,Haber-Fawcett & Usenov,Minnesota HU,Minnesota
4,Averi Harker,Kansas AH,University of Kansas
4,D'Antuono & Underwood,UTD DU,UTD
3,Cowdrey-Mota & Williamson,Missouri State/Kansas State CW,Missouri State University
3,Davis & Houston,Oklahoma DH,Oklahoma
3,Olabanji & Barden,Trinity OB,Trinity University
3,Levin & Doyle,Kansas LD,University of Kansas
2,Gill & Pack,Samford PG,Samford University
2,Bui & Jongkind,Texas BJ,Texas
2,Patel & Sanderson,Iowa PS,University of Iowa
1,Pertuit & Holland,Baylor PH,Baylor University
1,Doherty & Luce,Southern Nazarene DL,Southern Nazarene University
0,Draeger & Feyes,Kansas State DF,Kansas State
