Wins,Name,Code,School
6,Rahman & Bhadani,Southern California RB,University of Southern California
6,Reese & Bradley,Southern California ReBr,University of Southern California
5,Troup & Mills,Southern California TM,University of Southern California
3,Dawson & Weinhardt,Gonzaga DW,Gonzaga University
3,Bisevac & Ervin,Kentucky BE,University of Kentucky
2,Haber-Fawcett & Kathner,Minnesota HK,Minnesota
2,Wells & Usenov,Minnesota UW,Minnesota
1,Meza & Martinez,Cal State Fullerton MM,Cal State Fullerton
1,Catapang & Dominguez,Cal State Fullerton DC,Cal State Fullerton
1,Henderson & Parkin,Weber State HP,Weber State University
