Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,Thomas,Reese,Southern California ReBr,Southern California,CA,116.40,58.30,174.50,1.67,174.81,20.62,"W29.2,W29.3,W28.7,W28.8,W29.4,W29.1"
2,Anish,Bhadani,Southern California RB,Southern California,CA,116.20,58.10,174.30,2.00,174.56,75.97,"W29.1,W29,W29,W29.1,W28.9,W29.2"
3,Rayeed,Rahman,Southern California RB,Southern California,CA,116.20,58.10,174.30,2.00,174.52,34.39,"W29,W29.1,W29.1,W29,W28.8,W29.3"
4,Clare,Bradley,Southern California ReBr,Southern California,CA,116.20,58.00,174.10,1.67,174.54,95.27,"W29.1,W28.9,W28.6,W28.9,W29.3,W29.3"
5,Wheezy,Ervin,Kentucky BE,Kentucky,KY,115.90,58.00,174.00,3.17,174.00,64.83,"W29.1,L28.8,W29.3,L28.9,L29.1,W28.8"
6,Hana,Bisevac,Kentucky BE,Kentucky,KY,115.80,58.00,173.70,3.17,173.52,84.97,"W29,L29,W29,L28.8,L29.2,W28.7"
7,Dash,Weinhardt,Gonzaga DW,Gonzaga,WA,115.40,57.80,172.80,3.17,173.48,96.15,"L28.9,L28.4,W29,W28.9,L28.6,W29"
8,Nicholas,Dawson,Gonzaga DW,Gonzaga,WA,115.40,57.70,173.20,3.17,173.55,20.16,"L28.8,L28.7,W28.9,W29,L28.7,W29.1"
9,Jonathan,Meza,Cal State Fullerton MM,Cal State Fullerton,CA,115.40,57.70,172.90,3.83,172.70,50.45,"L28.7,W29.1,L28.4,L28.9,L28.8,L29"
10,Jackson,Mills,Southern California TM,Southern California,CA,115.20,57.80,172.80,1.67,173.31,25.71,"L28.4,W28.3,W28.8,W29,W29.3,W29"
11,David,Martinez,Cal State Fullerton MM,Cal State Fullerton,CA,115.20,57.60,172.70,3.83,172.54,35.31,"L28.8,W29,L28.5,L28.8,L28.7,L28.9"
12,Madison,Troup,Southern California TM,Southern California,CA,115.00,57.60,172.40,1.67,172.51,22.92,"L28.5,W28.2,W28.9,W28.7,W29.2,W28.9"
13,Kacee,Wells,Minnesota UW,Minnesota,MN,114.90,57.50,172.10,3.67,171.75,55.72,"W28.9,L28,L28.7,W29.2,L28.8,L28.5"
14,Timur,Usenov,Minnesota UW,Minnesota,MN,114.70,57.30,171.90,3.67,171.30,49.23,"W28.6,L28.1,L28.8,W29.1,L28.7,L28.6"
15,Samantha,Catapang,Cal State Fullerton DC,Cal State Fullerton,CA,114.60,57.20,171.80,3.17,171.17,12.41,"L28.5,L29,L28.6,L28.9,W28.2,L28.6"
16,Cristofer,Henderson,Weber State HP,Weber State,UT,114.40,57.40,171.30,3.67,171.66,16.57,"W28.7,L28.8,L28.7,L28.7,L28.1,L28.3"
17,Vaughn,Kathner,Minnesota HK,Minnesota,MN,114.40,57.20,172.00,4.00,171.92,89.73,"L28.5,W28.8,L28.4,L28.2,W29.4,L28.7"
18,Benjy,Haber-Fawcett,Minnesota HK,Minnesota,MN,114.40,57.20,172.00,4.00,171.64,58.51,"L28.6,W28.7,L28.5,L28.3,W29.3,L28.6"
19,Gabe,Parkin,Weber State HP,Weber State,UT,114.40,57.20,171.20,3.67,171.47,42.35,"W28.6,L28.9,L28.8,L28.6,L27.9,L28.4"
20,Israel,Dominguez,Cal State Fullerton DC,Cal State Fullerton,CA,114.20,57.10,171.00,3.17,170.07,42.69,"L28.6,L28.6,L28.5,L28.8,W28,L28.5"
