Wins,Name,Code,School
6,Usenov & Wells,Minnesota UW,Minnesota
5,Ain & Bath,Kansas AB,University of Kansas
5,Harker & Boyle,Kansas HB,University of Kansas
4,Severson & Kleiman,Iowa SK,University of Iowa
4,Audet-Abdulnour & Ledesma,Michigan AL,University of Michigan
3,Wang & Cheng,Emory CW,Emory University
3,Ellis & Galindo,Missouri State EG,Missouri State University
3,Van Buren & Bailey,Northern Iowa BV,Northern Iowa
3,Horton & Cruzan,Southern Nazarene HC,Southern Nazarene University
2,Pelli & Stearns,Emory PS,Emory University
2,Flores & Adams,Macalester FA,Macalester College
2,McFerren & Baker,Southern Nazarene BM,Southern Nazarene University
2,Billingsley & Glover,Georgia BG,University of Georgia
2,Boncher & Wu,Michigan BW,University of Michigan
2,Parkin & Henderson,Weber State PH,Weber State University
