Wins,Name,Code,School
7,T. Louis & Cohn,Binghamton TC,Binghamton University
7,Bald & Cai,Dartmouth BC,Dartmouth College
7,Cowan & White,Georgetown CW,Georgetown
7,Gines & Yeshitila,Harvard GY,Harvard
7,Revare & Marshall,Kansas RM,University of Kansas
7,Barrett & Park,Michigan BP,University of Michigan
6,Lobo & Yang,Emory LY,Emory University
6,Gallagher & Hecht,Emory GH,Emory University
6,Raman & Sayers,Georgetown RS,Georgetown
6,Pacconi & Souchet,Northwestern PS,Northwestern University
6,Boguslavsky & Tsan,UC Berkeley BT,"University of California, Berkeley"
6,Parfenoff & Anderson McElligott,Iowa PA,University of Iowa
6,Hato & Persinger,Kansas HP,University of Kansas
6,Willingham & Williams,Kansas WW - HYBRID,University of Kansas
6,Schultz & Larson,Kansas LS,University of Kansas
6,Wilkus & Harris,Kansas WH,University of Kansas
6,Leverett & Sencion,Wake Forest LS,Wake Forest University
6,Shaw & Cline,Wake Forest CS,Wake Forest University
6,Bressler & Mojica,Wake Forest BM,Wake Forest University
5,Ortega & Medina,CSU Long Beach OM,CSU Long Beach
5,Cai & Wallace,Dartmouth CW,Dartmouth College
5,Geevarghese & Young,Emory GY,Emory University
5,Conry & Piekut,Emory CP,Emory University
5,Rupp & Maxwell,Emory MR,Emory University
5,Reed & Wright,George Mason RW,George Mason University
5,Harrison & Kochel,Macalester HK,Macalester College
5,Miklovis & Montford,Michigan State MM,Michigan State University
5,Bennett & Shehzad,Michigan State BS,Michigan State University
5,Gusis & Lewis,Michigan State GL,Michigan State University
5,Deo & Rubin,Northwestern DR,Northwestern University
5,Anderson & Feinstein,Texas AF - ONLINE,Texas
5,Ippagunta & Potdar,Georgia IP,University of Georgia
5,Abad & Khan,Houston AK,University of Houston
5,Adam & McBlain,Kentucky AM,University of Kentucky
5,Esmailzadeh & Sharma,Michigan ES,University of Michigan
5,Shah & Shih,Michigan SS,University of Michigan
5,Karchmer & Penumetcha,UTD KP,UTD
5,Dal Pra & Keller,West Georgia DK - ONLINE,West Georgia
4,Lassen & Chatur,Baylor LC,Baylor University
4,Wiessner & Meza,Cal State Fullerton WM - ONLINE,Cal State Fullerton
4,Carpenter & Goldberg,Dartmouth CG,Dartmouth College
4,Katyal & Rao,Dartmouth KR,Dartmouth College
4,Jones & Ben-Abdallah,Dartmouth JB,Dartmouth College
4,Tahirkheli & Song,Emory ST,Emory University
4,Pierce & Kim,Emory KP,Emory University
4,Davis & Fuchs,George Mason DF,George Mason University
4,Dawson & Weinhardt,Gonzaga DW - ONLINE,Gonzaga University
4,Wellman & Roe,Gonzaga RW - ONLINE,Gonzaga University
4,Aoki & Bodet,Harvard AB,Harvard
4,Makinde & Saigal,NYU MS,New York University
4,Arney & Lundberg,Northwestern AL,Northwestern University
4,Menotti & Reichel,UC Berkeley MR,"University of California, Berkeley"
4,Doratt & Fernandez,Houston DF,University of Houston
4,Bilicki & Weimar,Iowa BW,University of Iowa
4,Walawender & Brown,Kansas WB,University of Kansas
4,Spiers & Barreto,Kansas BS,University of Kansas
4,Gabay & Slish,Kentucky GS,University of Kentucky
4,Shetty & Simha,Michigan ShSi,University of Michigan
4,Agustin & Ou,Michigan AO,University of Michigan
4,Gao & Sanchez,Michigan SG,University of Michigan
4,Bradley & Reese,Southern California BrRe,University of Southern California
4,Hale & Ravi,UTD HR,UTD
4,Sendejas & Karthik,UTD SK,UTD
4,Bellmon & Hale,Wake Forest BH,Wake Forest University
4,Elliott & Perez,Wake Forest EP,Wake Forest University
3,Keeler & Benton,Baylor KB,Baylor University
3,Martinez & Ayyala,Cal State Fullerton AM - ONLINE,Cal State Fullerton
3,Ravikumar & Tai,Emory RT,Emory University
3,Feldman & Waghray,Emory FW,Emory University
3,okahata & Park,Emory OP,Emory University
3,So & Wang,Emory SW,Emory University
3,Jarman & Scully,Michigan State JS,Michigan State University
3,Zi & Ansari,Michigan State ZA,Michigan State University
3,Cooper & Neal,Missouri State CN,Missouri State University
3,Kidd & Schnitzer,Houston KS,University of Houston
3,Traxler & Yadagiri,Houston TY,University of Houston
3,Baba & Hwang,Michigan BH,University of Michigan
3,Saudek & Davidov,Michigan DS,University of Michigan
3,Jones & Wofford,North Texas JW,University of North Texas
3,Mirza & Zhang,Southern California ZM,University of Southern California
3,Channa & Sood,Southern California CS,University of Southern California
3,Ortega & Marquez,Southern California/UC Berkeley OM,University of Southern California
3,Bhadani & Rahman,Southern California BR,University of Southern California
3,Dingley & Sampat,Wake Forest SD - HYBRID,Wake Forest University
3,Carter & Fournier,Western Kentucky CF,Western Kentucky University
3,StPeter & Schintgen,Western Kentucky SS,Western Kentucky University
3,Molina Chavez & Griffith,Wichita State GM,Wichita State University
3,McManus & Wentling,Wichita State WM,Wichita State University
2,Morley & Mao,Dartmouth MM,Dartmouth College
2,Bennett & Sanneh,Emory BS,Emory University
2,Valame & Yoon,Georgetown/American University (Policy Debate) VY,Georgetown
2,Durbin & Daniels,Macalester DD,Macalester College
2,Bodenhorn & Kimmerle,Missouri State BK,Missouri State University
2,Tooley & Cowdrey-Mota,Missouri State CT,Missouri State University
2,Waheed & Asbury,Oklahoma AW - ONLINE,Oklahoma
2,Sharman & Foust,Kansas SF,University of Kansas
2,Clementi & Shockley,Western Kentucky CS,Western Kentucky University
1,Fish & Midithuri,Indiana FM,Indiana University
1,Burns & Granger,Missouri State BG,Missouri State University
1,Hough & Yarborough,Southern Nazarene HY,Southern Nazarene University
1,Lopez & Khan,Southern California LK,University of Southern California
