Wins,Name,Code,School
5,Urfalian & Sen,UC Berkeley SU,"University of California, Berkeley"
5,Menotti & Reichel,UC Berkeley RM,"University of California, Berkeley"
5,Tsan & Boguslavsky,UC Berkeley BT,"University of California, Berkeley"
3,Saxena & Smith,Arizona State SS,Arizona State
3,Gurrola & Escobar,CSU Long Beach GE,CSU Long Beach
3,Shaikh & Mijares,UC Davis MS,UC Davis
2,Ayyala & Martinez,Cal State Fullerton AM,Cal State Fullerton
2,Perez Rivas & Perez Rivas,Cal State Fullerton PP,Cal State Fullerton
2,Ayala & Johnson,CSU Long Beach AJ,CSU Long Beach
1,Guansing & Vasquez,Cal State Fullerton GV,Cal State Fullerton
1,Catapang & Dominguez,Cal State Fullerton CD,Cal State Fullerton
1,Delgado & Ryals,Cal State Fullerton DR,Cal State Fullerton
1,kim & Torres,CSU Long Beach KT,CSU Long Beach
1,To & Lopez,UC Davis LT,UC Davis
