Wins,Name,Code,School
6,Doratt & Fernandez,Houston DF,University of Houston
6,Khan & Yadagiri,Houston KY,University of Houston
5,Sheffield & Abad,Houston SA,University of Houston
4,Patterson & King,Trinity KP,Trinity University
4,Campbell & Hawley,Wyoming CH,University of Wyoming
3,Keeler & Chatur,Baylor KC,Baylor University
3,Robertson & Spurlock,Kansas State RS,Kansas State
3,Smith & Waheed,Oklahoma SW,Oklahoma
3,Sanderson & Kleiman,Iowa SK,University of Iowa
3,Underwood & Hale,UTD HU,UTD
2,Benton & LoCicero,Baylor BL,Baylor University
2,Brown & Walawender,Kansas BW,University of Kansas
2,Blazquez & Wilson,UT San Antonio BW,UT San Antonio
2,McManus & Wentling,Wichita State MW,Wichita State University
1,Davis & Houston,Oklahoma DH,Oklahoma
1,Martinez & Sharman,Kansas MS,University of Kansas
