Wins,Name,Code,School
5,Catapang & Dominguez,Cal State Fullerton CD,Cal State Fullerton
5,Koenig & Soares,Liberty SK,Liberty University
5,Salonga & Adams,Macalester SA,Macalester College
4,Wang & Kibe,Emory KW,Emory University
4,Wineman & Jorquez,Liberty WJ,Liberty University
4,Cruzan & Horton,Southern Nazarene CH,Southern Nazarene University
4,Chacko & Kalkunte,Texas CK,Texas
3,Matzen & Kardos,James Madison KM,James Madison University
3,Pinto & Tiffany,James Madison PT,James Madison University
3,Israel & Ludka,Suffolk IL,Suffolk University Debate
3,Widi & Glennie,Wyoming WG,University of Wyoming
3,Lopez & Hawley,Wyoming LH,University of Wyoming
2,Pertuit & Holland,Baylor PH,Baylor University
2,Kathner & Kigigha,Minnesota/Houston KK,Minnesota
2,Barden & Olabanji,Trinity BO,Trinity University
1,Cutting & Postsiadlo,Boston College CP,Boston College
1,Doty & Cowdrey-Mota,Missouri State CD,Missouri State University
