Wins,Name,Code,School
6,Severson & Kleiman,Iowa Severson & Kleiman,University of Iowa
5,Campbell & Cowdrey-Mota,Missouri State Campbell & Cowdrey-Mota,Missouri State University
4,Feyes & Draeger,Kansas State Feyes & Draeger,Kansas State
3,Carbone & Makfinsky,Monmouth Carbone & Makfinsky,Monmouth University
3,Bell & Cruzan,Southern Nazarene Bell & Cruzan,Southern Nazarene University
3,Baker & Stockstill,Southern Nazarene Stockstill & Baker,Southern Nazarene University
3,Eckard & Wadsworth,Central Oklahoma Eckard & Wadsworth,University of Central Oklahoma
2,Xie & Jallow,Johnson County Community Jallow & Xie,Johnson County Community College
2,Norton & Alonzo,UT San Antonio Norton & Alonzo,UT San Antonio
1,Sower & Pardey,Monmouth Sower & Pardey,Monmouth University
1,Fornicola & Hohn,Monmouth Fornicola & Hohn,Monmouth University
