Wins,Name,Code,School
6,Chen & Taxali,George Mason CT,George Mason University
6,Reyes & Shananier,George Mason RS,George Mason University
4,Gorman & Badmus,George Mason GB,George Mason University
4,Draeger & Feyes,Kansas State DF,Kansas State
4,Koenig & Soares,Liberty SK,Liberty University
4,Wineman & Schmidtler,Liberty SW,Liberty University
3,Pinto & Tiffany,James Madison TP,James Madison University
3,Addink & Williamson,Kansas State AW,Kansas State
3,Zhu & Chau,West Point CZ,United States Military Academy
2,Dye & AlverdeDuarte,Cornell AD,Cornell
2,Lugo & Jorquez,Liberty LJ,Liberty University
2,Ganpath & Kazempoor,NYU GK,New York University
2,Barden & Olabanji,Trinity BO,Trinity University
2,Goodson & Alonzo,UT San Antonio AG,UT San Antonio
1,Duranović & Hosseinipour,NYU DH,New York University
