Wins,Name,Code,School
6,Fritz & Heckel,Liberty HF,Liberty University
5,Anteen & Rowe,West Point AR,United States Military Academy
4,Vorontsova & Wang,Cornell VW,Cornell
4,Neale & Rudolph,George Mason NR,George Mason University
4,Corvalan & Esteves,George Mason CE,George Mason University
4,Etienne & Tooley,Liberty ET,Liberty University
4,Fellman & MacDonnell,West Point FM,United States Military Academy
4,Freeman & Gerber,West Point FG,United States Military Academy
3,Meshberg & McLaughlin,Binghamton MM,Binghamton University
3,Marcy & Prabhu,Cornell MP,Cornell
3,Noye & Andrade,George Mason NA,George Mason University
3,Aziz & Satterfield,Liberty AS,Liberty University
3,Blank & Sulzinsky,Suffolk BS,Suffolk University Debate
3,Cole & Khan,Houston CK,University of Houston
3,Lopez & Ellis,Houston LE,University of Houston
2,Agbozo & Heffner,Kentucky AH,University of Kentucky
2,Jackson & Orsburn,UT San Antonio JO,UT San Antonio
2,Ferrell & Chapman,West Virginia CF,West Virginia University
1,Short & Contreras Perret,NYU CS,New York University
1,Galvan & Bolger,NYU BG,New York University
1,Paschall & Norton,UT San Antonio PN,UT San Antonio
