Wins,Name,Code,School
6,King & Reza Husain,Binghamton KR,Binghamton University
5,Chatur & Keeler,Baylor CK,Baylor University
4,Christ & Persaud,Towson CP,Towson University
4,King & Patterson,Trinity KP,Trinity University
3,Foos & Hoegerl,Liberty FH,Liberty University
3,Burns & Granger,Missouri State BG,Missouri State University
3,Abad & Schnitzer,Houston AS,University of Houston
3,Blazquez & Wilson,UT San Antonio BW,UT San Antonio
2,Severson & Sanderson,Iowa SS,University of Iowa
2,Carrillo & Mihaly,UT San Antonio CM,UT San Antonio
1,Asbury & Toro,Oklahoma AT,Oklahoma
