Wins,Name,Code,School
6,Kardos & Matzen,James Madison KM,James Madison University
5,Catapang & Dominguez,Cal State Fullerton CD,Cal State Fullerton
5,Pelli & Stearns,Emory PS,Emory University
5,Reyes & Shananier,George Mason RS,George Mason University
5,Bodenhorn & Campbell,Missouri State BC - ONLINE,Missouri State University
5,Morales & Lemaster,Oklahoma LM - ONLINE,Oklahoma
4,Cheng & Wang,Emory CW,Emory University
4,Chen & Taxali,George Mason CT,George Mason University
3,Vasquez & Guansing,Cal State Fullerton GV - ONLINE,Cal State Fullerton
3,Gorman & Badmus,George Mason GB,George Mason University
3,Fish & Livnat,Indiana FL,Indiana University
3,Pinto & Tiffany,James Madison PT,James Madison University
3,Schmidtler & Jorquez,Liberty SJ,Liberty University
3,Winnick & Kelso,Minnesota KW - ONLINE,Minnesota
3,Van Buren & Whittaker,Northern Iowa VW - ONLINE,Northern Iowa
3,Baker & Stockstill,Southern Nazarene BS - ONLINE,Southern Nazarene University
3,Jongkind & Bui,Texas JB,Texas
3,Widi & Hawley,Wyoming WH,University of Wyoming
3,Carrillo & Goodson,UT San Antonio CG,UT San Antonio
3,Ingram & Puranik,Western Kentucky IP,Western Kentucky University
2,King & Sexton,Boston College KS,Boston College
2,Feyes & Draeger,Kansas State FD,Kansas State
2,Ellis & Galindo,Missouri State EG - ONLINE,Missouri State University
2,Tong & Wilder,United States Military TW,United States Military Academy
1,Sahin & Awan,NYU SA - ONLINE,New York University
1,Wolf & Boncher,Michigan WB,University of Michigan
0,Palmer & Newton,Johnson County Community PN,Johnson County Community College
