Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,Samar,Kibe,Emory BK,Emory,GA,114.90,57.50,172.40,2.67,172.45,71.53,"W28.6,W28.9,L28.7,W28.8,W28.6,L28.8"
2,Tinghan,Wang,Emory YW,Emory,GA,114.90,57.40,172.00,2.50,172.29,42.56,"W28.3,W28.7,L28.7,W28.8,W28.7,W28.8"
3,Tasneem,Ahmed,Purdue AW,Purdue,IN,114.67,57.20,172.80,3.50,173.17,92.67,"L28.6,W28.8,W28.6,L28.6,W29.4"
4,Hadassah,Yisrael,Emory YW,Emory,GA,114.40,57.20,171.50,2.50,171.71,65.55,"W28.7,W28.5,L28.8,W28.7,W28.3,W28.5"
5,Lucas,Walker,Purdue AW,Purdue,IN,114.27,56.80,171.84,3.50,172.08,67.99,"L28.4,W28.9,W28.2,L28.4,W29.3"
6,Zayn,Bandukwalla,Emory BK,Emory,GA,114.20,57.10,171.60,2.67,171.47,4.07,"W28.4,W29,L28.6,W28.6,W28.5,L28.5"
7,Karina,Sanchez,Southwestern SS,Southwestern,CA,114.00,57.00,171.20,3.17,171.86,46.83,"L28.3,W28.6,W28.9,L28.5,L28.4,W28.5"
8,jean,kim,CSU Long Beach KT,CSU Long Beach,CA,113.70,56.90,170.30,2.83,170.52,79.53,"L28.2,L28.5,W28.6,L28.7,W27.9,L28.4"
9,Gabriel,Torres,CSU Long Beach KT,CSU Long Beach,CA,113.60,56.80,170.50,2.83,170.64,68.25,"L28.6,L28.3,W28.5,L28.5,W28.3,L28.3"
10,Ana,Sanchez,Southwestern SS,Southwestern,CA,113.60,56.70,170.90,3.17,171.69,20.12,"L28.2,W28.4,W29.1,L28.3,L28.3,W28.6"
11,Judy,Chung,Michigan CS,Michigan,MI,112.93,56.40,169.56,3.33,141.78,96.56,"L28.6,L28.2,L28,L28.1,L28.4"
12,Shreya,Srivathsan,Michigan CS,Michigan,MI,112.80,56.40,169.56,3.33,141.59,68.86,"L28.7,L28.3,L28.1,L28,L28.2"
