Wins,Name,Code,School
5,Barratt & Diop,Cornell BD,Cornell
5,Gorman & Badmus,George Mason GB,George Mason University
5,Koenig & Shoemaker,Liberty KS,Liberty University
4,Chen & Taxali,George Mason CT,George Mason University
4,Shihab & O'Connor,George Mason SO,George Mason University
4,Jorquez & Schmidtler,Liberty JS,Liberty University
4,Wong & Ludka,Suffolk WL,Suffolk University Debate
3,Dye & Zhuo,Cornell DZ,Cornell
2,Wei & Zhang,Boston College WZ,Boston College
2,Bass & Marcy,Cornell BM,Cornell
2,Scharf & Xu,NYU SX,New York University
1,Duranović & Hosseinipour,NYU DH,New York University
1,Ganpath & Kazempoor,NYU GK,New York University
