Wins,Name,Code,School
5,Fritz & Garner,Liberty GF,Liberty University
5,Heckel & Yoon,Liberty YH,Liberty University
5,Etienne & Tooley,Liberty ET,Liberty University
5,Rowe & Anteen,West Point AR,United States Military Academy
4,Meshberg & McLaughlin,Binghamton MM,Binghamton University
4,Bryen & Harshbarger,Binghamton BH,Binghamton University
4,Vorontsova & Wang,Cornell VW,Cornell
4,Noye & Esteves,George Mason NE,George Mason University
4,Chau & MacDonnell,West Point CM,United States Military Academy
3,Huang & Dunleavy,Binghamton HD,Binghamton University
3,Neale & Rudolph,George Mason NR,George Mason University
3,Corvalan & Andrade,George Mason CA,George Mason University
3,Hughes & Klain,Navy HK,Navy
3,Gerber & Freeman,West Point GF,United States Military Academy
3,Chub & Vozniak,Rochester CV,University of Rochester
2,AlverdeDuarte & Smith,Cornell AS,Cornell
2,Simon & Allen,Fairmont State SA,Fairmont State University
2,Haroon & Alegre,George Mason HA,George Mason University
2,Aziz & Satterfield,Liberty AS,Liberty University
2,Chao & Liu,Navy CL,Navy
2,Ferrell & Chapman,West Virginia CF,West Virginia University
1,Ratnala & Bekurs,George Mason RB,George Mason University
1,Alzgoul & Bao,NYU AB,New York University
