Wins,Name,Code,School
6,Cunningham & Layton,Liberty LC,Liberty University
5,Foos & Sanders,Liberty FS,Liberty University
4,Davis & Fuchs,George Mason DF,George Mason University
4,Rodak & Richter,George Mason RR,George Mason University
4,Balda & Rinehart,James Madison BR,James Madison University
4,Kardos & Matzen,James Madison KM,James Madison University
4,Mishra & Oehler,James Madison MO,James Madison University
3,Hoegerl & Wineman,Liberty HW,Liberty University
2,Cui & Nyberg,Binghamton CN,Binghamton University
2,Hua & Cheek,Boston College HC,Boston College
2,Ozcayir & Rahman,Rochester OR,University of Rochester
1,Reyes & Shananier,George Mason RS,George Mason University
1,Kpade & Xu,New School KX,New School
0,Edelstein & Ali,Rochester EA,University of Rochester
