Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,will,sterbenc,Michigan State AS - ONLINE,Michigan State,MI,116.30,58.10,174.60,2.50,174.80,18.97,"W29,W29.1,W29,W29.3,L29,W29.2"
2,Pia Maria,Flores Palacios,Southwestern AF,Southwestern,CA,116.00,58.00,173.90,3.00,174.10,45.45,"W28.8,L28.7,W29,W29,W29.2,W29.2"
3,Victoria,Ayekof,Southwestern AF,Southwestern,CA,116.00,58.00,173.70,3.00,173.69,16.93,"W28.9,L28.6,W29.1,W28.9,W29.1,W29.1"
4,Aaron,Hill,Marian HR - ONLINE,Marian,IN,115.70,57.80,173.40,2.50,173.35,17.56,"W28.8,W29.2,L28.2,W29.5,W28.7,L29"
5,Brayden,Lyday,Wyoming LH,Wyoming,WY,115.30,57.60,172.90,2.67,172.58,50.76,"L28.7,W28.9,L28.8,L28.8,W28.8,W28.9"
6,Aiden,Hedrick,Wyoming LH,Wyoming,WY,114.90,57.40,172.20,2.67,171.93,60.33,"L28.6,W28.7,L28.7,L28.3,W28.9,W29"
7,Justin,Cooper,Emory CZ - ONLINE,Emory,GA,114.80,57.40,172.20,3.83,171.64,37.77,"L28.7,L28.5,W28.9,L28.6,L28.8,L28.7"
8,Daniel,Munoz,Southwestern MF,Southwestern,CA,114.70,57.60,171.20,3.00,171.01,31.36,"L28.3,L28.8,L28.8,W28.8,L27.7,L28.8"
9,Eleazar,Asase,Michigan State AS - ONLINE,Michigan State,MI,114.70,57.30,172.10,2.50,171.99,32.06,"W28.5,W28.4,W28.6,W28.7,L28.9,W29"
10,Evelyn,Zhang,Emory CZ - ONLINE,Emory,GA,114.60,57.30,172.10,3.83,171.70,64.88,"L28.6,L28.6,W29,L28.7,L28.7,L28.5"
11,John,Figueroa,Southwestern MF,Southwestern,CA,114.40,57.20,170.90,3.00,170.37,2.26,"L28.5,L28.6,L28.7,W28.6,L27.8,L28.7"
12,Aubrey,Klain,Navy HK - ONLINE,Navy,MD,114.00,57.00,171.30,2.67,171.64,46.69,"W28.6,W28.4,W28.4,L28.5,W28.9,W28.5"
13,Robert,Hughes,Navy HK - ONLINE,Navy,MD,113.90,56.80,171.10,2.67,171.73,50.75,"W28.4,W28.2,W28.8,L28.3,W29,W28.4"
14,alva,tang,Emory TW - ONLINE,Emory,GA,113.80,57.00,169.50,3.83,169.54,95.55,"L28.6,L28.4,L28.7,L28.2,L28.6,L27"
15,Armoni,Richardson,Marian HR - ONLINE,Marian,IN,113.80,56.90,169.70,2.50,170.17,76.13,"W28.4,W28.7,L28.5,W27,W28.2,L28.9"
16,Miles,Woods,Emory TW - ONLINE,Emory,GA,113.50,56.70,170.20,3.83,169.71,30.73,"L28.4,L28.3,L28.5,L28,L28.7,L28.3"
