Wins,Name,Code,School
8,Schultz & Larson,Kansas SL,University of Kansas
7,Cohn & King,Binghamton CK,Binghamton University
7,Gallagher & Song,Emory GS - ONLINE,Emory University
7,Li & Rubin,Northwestern LR,Northwestern University
6,Ortega & Medina,CSU Long Beach OM,CSU Long Beach
6,Yang & Lobo,Emory LY - ONLINE,Emory University
6,Aggarwal & Cowan,Georgetown AC,Georgetown
6,Gusis & Lewis,Michigan State GL - ONLINE,Michigan State University
6,Nestor & Patterson,Northwestern NP,Northwestern University
6,Arney & Tahirkheli,Northwestern AT,Northwestern University
6,Parfenoff & Anderson McElligott,Iowa PA - ONLINE,University of Iowa
6,Shah & Shih,Michigan SS,University of Michigan
6,Barrett & Park,Michigan BP,University of Michigan
5,Cai & Goldberg,Dartmouth CG,Dartmouth College
5,Witkov & Wright,George Mason WW - ONLINE,George Mason University
5,Cunningham & Layton,Liberty CL - ONLINE,Liberty University
5,Jarman & Scully,Michigan State JS - ONLINE,Michigan State University
5,Gearring & Shehzad,Michigan State GS - ONLINE,Michigan State University
5,Feinstein & Low,Texas FL,Texas
5,Menotti & Reichel,UC Berkeley RM,"University of California, Berkeley"
5,Weimar & Eltyeb,Iowa EW - ONLINE,University of Iowa
5,Suleman & Shaw,Kansas SS,University of Kansas
5,Willingham & Owings,Kansas OW,University of Kansas
5,Hato & Persinger,Kansas HP - ONLINE,University of Kansas
5,Rimpson & Washington,Kentucky RW,University of Kentucky
5,Agustin & Ou,Michigan AO,University of Michigan
5,Chamarthy & Chen,Michigan CC,University of Michigan
5,Esmailzadeh & Shetty,Michigan ES,University of Michigan
5,Penumetcha & Ravi,UTD PR,UTD
5,Hale & Namikas,Wake Forest HN - ONLINE,Wake Forest University
4,Darwish & Lassen,Baylor DL,Baylor University
4,Jones & Rao,Dartmouth JR - ONLINE,Dartmouth College
4,Rupp & Young,Emory RY _ ONLINE,Emory University
4,Wellman & Roe,Gonzaga WR,Gonzaga University
4,Aoki & Bodet,Harvard AB,Harvard
4,Foster & Martin,Michigan State FM - ONLINE,Michigan State University
4,Leonard & Lundberg,Northwestern LL,Northwestern University
4,Lee & Weisz,Northwestern LW,Northwestern University
4,Lai & Yan,Stanford LY - ONLINE,Stanford Debate Society
4,Situ & Gilrain-Lennon,UC Berkeley GS,"University of California, Berkeley"
4,Urfalian & Boguslavsky,UC Berkeley BU,"University of California, Berkeley"
4,Chapman & Kaidar-Heafetz,Georgia CK,University of Georgia
4,Bilicki & Sanderson,Iowa BS - ONLINE,University of Iowa
4,Severson & Kleiman,Iowa SK - ONLINE,University of Iowa
4,Brown & Walawender,Kansas BW,University of Kansas
4,Ulven & Ain,Kansas UA,University of Kansas
4,Gabay & Slish,Kentucky GS,University of Kentucky
4,Bradley & Martin,Southern California BM,University of Southern California
4,Dollinger & Turner,Southern California DT - ONLINE,University of Southern California
4,Rahman & Bhadani,Southern California RB,University of Southern California
4,Humphrey & Hoch,UTD HH,UTD
4,Leverett & Wolfe,Wake Forest LW,Wake Forest University
4,Dingley & Elliott,Wake Forest DE,Wake Forest University
4,Molina Chavez & Griffith,Wichita State GM - ONLINE,Wichita State University
3,Smith & Saxena,Arizona State SS,Arizona State
3,Ben-Abdallah & Carpenter,Dartmouth BC,Dartmouth College
3,Cross & Stumpff,Emory CS - ONLINE,Emory University
3,Lastelick & Nanji,Georgetown LN,Georgetown
3,Tamfu & Perez-Rubio,Georgetown TP,Georgetown
3,Haber-Fawcett & Usenov,Minnesota HU,Minnesota
3,Rea & Connor,Navy CR - ONLINE,Navy
3,Arceo & Hines,Northwestern AH,Northwestern University
3,Patterson & King,Trinity KP,Trinity University
3,Bath & McConnell,Kansas BM,University of Kansas
3,Almand & Moon,Michigan AM,University of Michigan
3,Cho & Saudek,Michigan CS,University of Michigan
3,Hwang & McIlhenny,Michigan HM - ONLINE,University of Michigan
3,Troup & Mills,Southern California TM,University of Southern California
3,Widi & Willson,Wyoming WW,University of Wyoming
3,Campbell & Hawley,Wyoming CH,University of Wyoming
3,Dickey & D'Antuono,UTD DD,UTD
3,Aderibigbe & Brown,Wake Forest AB,Wake Forest University
2,Smith & Saenz,CSU Long Beach SS - HYBRID,CSU Long Beach
2,Ravikumar & Charabuddi,Emory CR - ONLINE,Emory University
2,Wang & Kibe,Emory KW - ONLINE,Emory University
2,Stearns & Tai,Emory TS - ONLINE,Emory University
2,Hawksworth & Hansen,Purdue HH - ONLINE,Purdue University
2,Stevenson & Gade,Texas GS - ONLINE,Texas
2,Crowley & Khalikov,Trinity CK - ONLINE,Trinity University
1,Chen & granchi,Emory CG - ONLINE,Emory University
1,Synn & Lourenco,Harvard/Amherst SL,Harvard
1,Heftman & Peltier,Northwestern HP,Northwestern University
