Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,Daniel,Gallagher,Emory GS - ONLINE,Emory,GA,177.96,118.67,237.26,4.75,208.55,13.25,"W,W29.8,W29.5,W29.8,W29.7,L29.5,W29.6,W29.7"
2,Rose,Larson,Kansas SL,Kansas,KS,177.80,118.60,236.50,5.38,236.93,5.18,"W28.9,W29.4,W29.5,W29.6,W29.8,W29.7,W29.8,W29.8"
3,Connelly,Cowan,Georgetown AC,Georgetown,DC,177.70,118.40,236.80,5.13,237.21,44.78,"W29.3,W29.5,W29.8,L29.5,W29.7,W29.8,W29.6,L29.6"
4,Jiyoon,Park,Michigan BP,Michigan,MI,177.00,118.10,236.00,5.13,236.31,34.94,"W29.7,W29.7,W29.2,W29.8,L29.5,W29.2,L29.5,W29.4"
5,Jeremiah,Cohn,Binghamton CK,Binghamton,NY,177.00,118.00,236.00,5.63,236.73,62.95,"W29.2,W29.3,W29.8,W29.4,W29.6,W29.4,L29.6,W29.7"
6,Veronica,Rubin,Northwestern LR,Northwestern,IL,177.00,117.90,235.70,4.88,236.08,51.35,"W29,W29.4,W29.5,W29.7,L29.5,W29.5,W29.4,W29.7"
7,Eleanor,Barrett,Michigan BP,Michigan,MI,176.90,118.00,235.80,5.13,236.37,42.39,"W29.6,W29.6,W29.4,W29.6,L29.6,W29.3,L29.4,W29.3"
8,Curtis,Ortega,CSU Long Beach OM,CSU Long Beach,CA,176.90,117.80,235.80,5.13,235.86,52.94,"W29.5,L29.8,W29.8,W29.3,W29.7,W29.3,L29.3,W29.1"
9,Daniel,Medina,CSU Long Beach OM,CSU Long Beach,CA,176.80,117.80,235.70,5.13,235.79,44.42,"W29.4,L29.7,W29.7,W29.4,W29.6,W29.4,L29.2,W29.3"
10,Ike,Song,Emory GS - ONLINE,Emory,GA,176.76,117.73,235.77,4.75,206.98,98.59,"W,W29.6,W29.4,W29.7,W29.4,L29.3,W29.5,W29.4"
11,Stephen,Lewis,Michigan State GL - ONLINE,Michigan State,MI,176.60,117.80,235.50,5.38,235.59,18.84,"W29.2,W29.2,L29.7,W29.6,W29.4,W29.4,W29.5,L29.5"
12,Luna,Schultz,Kansas SL,Kansas,KS,176.60,117.80,234.90,5.38,235.36,33.78,"W28.4,W29.3,W29.1,W29.5,W29.7,W29.5,W29.9,W29.5"
13,Joanna,Gusis,Michigan State GL - ONLINE,Michigan State,MI,176.50,117.70,235.30,5.38,235.42,93.62,"W29.3,W29.1,L29.5,W29.7,W29.5,W29.2,W29.4,L29.6"
14,Arielle,Gearring,Michigan State GS - ONLINE,Michigan State,MI,176.50,117.70,235.30,5.00,235.20,1.47,"W29.4,W29.7,W29.4,W29.1,L29.5,L29.4,W29.6,L29.2"
15,Ashley,King,Binghamton CK,Binghamton,NY,176.40,117.70,234.80,5.63,235.14,2.21,"W29.1,W28.7,W29.6,W29.1,W29.4,W29.6,L29.7,W29.6"
16,Cyrus,Esmailzadeh,Michigan ES,Michigan,MI,176.20,117.30,235.10,5.50,235.29,31.94,"W29.3,W29.3,W29.6,L29.3,W29.4,W29.7,L29.3,L29.2"
17,Conner,Shih,Michigan SS,Michigan,MI,176.10,117.60,234.80,4.38,234.82,46.95,"W28.8,W29.3,L29.4,W29.9,L28.9,W29.4,W29.6,W29.5"
