Wins,Name,Code,School
5,Neal & Neal,Missouri State Neal & Neal,Missouri State University
5,Lee & Weisz,Northwestern Lee & Weisz,Northwestern University
5,Agustin & Ou,Michigan Agustin & Ou,University of Michigan
5,Willson & Widi,Wyoming Widi & Willson,University of Wyoming
5,Fournier & Ney,Western Kentucky Ney & Fournier,Western Kentucky University
4,Fish & Truemper,Indiana Fish & Truemper,Indiana University
4,Arceo & Kung,Northwestern Arceo & Kung,Northwestern University
4,Ervin & Rushing,Kentucky Ervin & Rushing,University of Kentucky
4,Carter & Kumar,Western Kentucky Carter & Kumar,Western Kentucky University
3,Bates & DeAngelis,Missouri State Bates & DeAngelis,Missouri State University
3,Cooper & Hahn,Missouri State Cooper & Hahn,Missouri State University
3,Hawksworth & Hansen,Purdue Hawksworth & Hansen,Purdue University
3,Vargas & bowman,North Texas bowman & Vargas,University of North Texas
3,Kennon & Missell,West Georgia Kennon & Missell,West Georgia
2,Gonzalez Arce & Hant,Dartmouth Gonzalez Arce & Hant,Dartmouth College
2,Duggal & Jones,Indiana Duggal & Jones,Indiana University
2,LippSmith & Olorunsola,Northwestern LippSmith & Olorunsola,Northwestern University
2,Werner & bustos,Oklahoma bustos & Werner,Oklahoma
2,Sharp & Paruchuri,North Texas Paruchuri & Sharp,University of North Texas
1,Ballinger & Wright,Oklahoma Ballinger & Wright,Oklahoma
1,Hedrick & Pierson,Wyoming Pierson & Hedrick,University of Wyoming
0,Fulkerson & Duncan,Oklahoma Duncan & Fulkerson,Oklahoma
