Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,Wheezy,Ervin,Kentucky Ervin & Rushing,Kentucky,KY,116.90,58.50,175.10,2.67,174.79,96.67,"W29.3,L29.3,W29.2,L28.9,W29.3,W29.1"
2,Rae,Fournier,Western Kentucky Ney & Fournier,Western Kentucky,KY,116.60,58.40,175.10,3.83,175.22,69.24,"W29.2,W29.2,W29.6,W28.9,L28.9,W29.3"
3,Riley,Ney,Western Kentucky Ney & Fournier,Western Kentucky,KY,116.60,58.30,174.80,3.83,174.74,36.44,"W29.3,W29.1,W29.5,W28.7,L29,W29.2"
4,Sage,Carter,Western Kentucky Carter & Kumar,Western Kentucky,KY,116.50,58.30,174.70,3.17,175.08,4.02,"W29.5,W29.2,W29,L29.1,L28.7,W29.2"
5,Jean-Luc,Willson,Wyoming Widi & Willson,Wyoming,WY,116.40,58.20,174.40,2.80,174.69,13.28,"W29.2,B,29,L28.7,W29.3,W29,W29.2"
6,Emanuel,Vargas,North Texas bowman & Vargas,North Texas,TX,116.27,58.20,174.24,3.80,174.09,75.78,"W29,L29.3,W29.1,L29.1,L28.7"
7,Vaden,Kumar,Western Kentucky Carter & Kumar,Western Kentucky,KY,116.20,57.90,174.10,3.17,173.78,40.37,"W29.4,W29,W28.9,L29.4,L28.5,W28.9"
8,Saimaa,Widi,Wyoming Widi & Willson,Wyoming,WY,116.10,58.00,174.20,2.80,174.35,60.45,"W29.3,B,28.9,L28.8,W29.1,W28.8,W29.3"
9,Nico,Neal,Missouri State Neal & Neal,Missouri State,MO,116.00,57.90,173.90,3.33,174.53,22.59,"W28.6,W28.8,W28.8,W29.3,W29.3,L29.1"
10,Zander,Fish,Indiana Fish & Truemper,Indiana,IN,115.80,57.90,173.60,3.67,174.17,98.82,"L28.3,L28.9,W28.9,W29,W29.5,W29"
11,Robert,Ou,Michigan Agustin & Ou,Michigan,MI,115.70,58.00,173.10,3.67,173.48,79.43,"W28.9,W29.3,W29.1,W29.1,W28.6,L28.1"
12,William,Agustin,Michigan Agustin & Ou,Michigan,MI,115.60,57.80,173.60,3.67,173.76,38.03,"W28.8,W29.2,W29,W29,W28.8,L28.8"
13,Samuel,Weisz,Northwestern Lee & Weisz,Northwestern,IL,115.50,57.80,173.20,2.67,174.23,21.29,"W28.9,L28.8,W28.9,W29.1,W28.6,W28.9"
14,Asher,Neal,Missouri State Neal & Neal,Missouri State,MO,115.50,57.70,173.20,3.33,173.24,60.49,"W28.5,W28.7,W28.6,W29.2,W29.2,L29"
15,Ari,Arceo,Northwestern Arceo & Kung,Northwestern,IL,115.40,57.70,173.50,3.50,173.98,83.73,"W28.7,W29.4,L28.7,W28.9,W29,L28.8"
16,Jonn,Rushing,Kentucky Ervin & Rushing,Kentucky,KY,115.40,57.70,173.10,2.67,172.61,26.58,"W29.2,L28.5,W28.7,L28.8,W28.9,W29"
17,Michael,Lee,Northwestern Lee & Weisz,Northwestern,IL,115.40,57.60,173.30,2.67,174.54,60.96,"W28.8,L28.7,W29,W29.2,W28.8,W28.8"
