Wins,Name,Code,School
6,Panchal & Pelaez,Miami PP,University of Miami
5,Hansen & Handley,West Georgia HH,West Georgia
4,Garcia & Foudali,Indiana FG,Indiana University
4,Amador & Madsen,Navy AM,Navy
4,Zahler & DeSantis,Miami DZ,University of Miami
4,Del Pino & Montegomery,Miami DM,University of Miami
4,Kinghorn & Porter,Wake Forest PK,Wake Forest University
3,Thomas & Carlson,Indiana TC,Indiana University
3,Kaptur & Gamliel,Navy KG,Navy
3,Pisinski & Colyer,Miami CP,University of Miami
3,Bell & Rotell,West Georgia BR,West Georgia
2,Fleischman & Pena,Indiana FP,Indiana University
2,Richardson & Muckerheide,Marian RM,Marian University
2,Graham & Gulck,Navy GG,Navy
2,Nelson & Jain,Navy NJ,Navy
2,Lovette & Peebles,Wake Forest LP,Wake Forest University
1,Moore & Liu,Navy ML,Navy
