Wins,Name,Code,School
6,Ding & Makode,Michigan DM,University of Michigan
5,Duggal & Jones,Indiana DJ,Indiana University
4,bustos & Wright,Oklahoma BW,Oklahoma
4,Ayekof & Flores Palacios,Southwestern AF,Southwestern College
4,Lindsay & Sferrazza,Wake Forest LS,Wake Forest University
3,Robinson & Xue,Macalester RX,Macalester College
3,Alexander & Bechtold,Samford AB,Samford University
3,Pierson & Willson,Wyoming WP,University of Wyoming
3,Lyday & Hedrick,Wyoming HL,University of Wyoming
2,Shimbo & tang,Emory ST,Emory University
2,Fulkerson & Duncan,Oklahoma DF,Oklahoma
2,Nguyen & Miller,Wake Forest NM,Wake Forest University
1,Palmer & Newton,Johnson County Community NP,Johnson County Community College
