Wins,Name,Code,School
6,Jarman & Scully,Michigan State JS,Michigan State University
6,Foster & Martin,Michigan State FM,Michigan State University
5,Rimpson & Washington,Kentucky RW,University of Kentucky
5,Wolfe & Leverett,Wake Forest LW,Wake Forest University
5,Carter & Fournier,Western Kentucky CF,Western Kentucky University
4,Shirts & Cross,Emory CS,Emory University
4,Ravikumar & Charabuddi,Emory RC,Emory University
4,Stearns & Tai,Emory ST,Emory University
4,Aggarwal & Stumpff,Emory AS,Emory University
4,Harrison & Winters,Macalester HW,Macalester College
4,Pack & Cannon,Georgia CP,University of Georgia
4,Terreros & Blaser,Kansas BT,University of Kansas
4,Ou & Agustin,Michigan AO,University of Michigan
4,Sampat & Williams,Wake Forest SW,Wake Forest University
4,Hale & Namikas,Wake Forest HN,Wake Forest University
4,Brown & Aderibigbe,Wake Forest AB,Wake Forest University
4,Ney & Kumar,Western Kentucky NK,Western Kentucky University
4,Molina Chavez & Griffith,Wichita State MG,Wichita State University
3,Smith & Saxena,Arizona State SS,Arizona State
3,Catapang & Dominguez,Cal State Fullerton DC,Cal State Fullerton
3,Martinez & Nworgu,Cal State Fullerton MN,Cal State Fullerton
3,Wellman & Roe,Gonzaga RW,Gonzaga University
3,Munson & Wells,Minnesota MW,Minnesota
3,Usenov & Haber-Fawcett,Minnesota HU,Minnesota
3,Neal & Siever,Missouri State NS,Missouri State University
3,Lee & Weisz,Northwestern LW,Northwestern University
3,Arceo & Kung,Northwestern AK,Northwestern University
3,Smith & Ballinger,Oklahoma BS,Oklahoma
3,Verma & Fordyce,Kansas FV,University of Kansas
3,Boyle & June,Kansas JB,University of Kansas
3,Baba & Ledesma,Michigan BL,University of Michigan
3,Willson & Widi,Wyoming WW,University of Wyoming
3,Schintgen & StPeter,Western Kentucky SS,Western Kentucky University
2,Truemper & Fish,Indiana TF,Indiana University
2,Herzer & Kathner,Minnesota HK,Minnesota
2,Cowdrey-Mota & Neal,Missouri State CN,Missouri State University
2,Lawrence & Satterfield,Navy LS,Navy
2,Birkby & Cruz,Texas AandM University - College Station BC,Texas AandM University - College Station
2,Lackey & Chapman,Georgia CL,University of Georgia
2,Kleiman & Larsen,Iowa KL,University of Iowa
2,Rushing & Schedler,Kentucky RS,University of Kentucky
2,Garvey & Joyce,Michigan GJ,University of Michigan
2,Rueda & Wong,Southern California RW,University of Southern California
2,Mbye & Peters,Wake Forest MP,Wake Forest University
1,Florence-Smith & Li,Dartmouth LF,Dartmouth College
1,Wang & Yang,Emory WY,Emory University
1,Sand & Ardis,Kansas State SA,Kansas State
1,Langford & Sanchez,Texas AandM University - College Station SL,Texas AandM University - College Station
0,Kirkpatrick & Johnson,Dartmouth JK,Dartmouth College
0,Lay & DeAngelis,Missouri State LD,Missouri State University
