Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
1,Jeremiah,Rimpson,Kentucky RW,Kentucky,KY,118.40,59.40,177.50,4.00,176.91,37.53,"W29.2,W29.1,W29.8,W29.8,L29.6,W30"
2,Glen,Scully,Michigan State JS,Michigan State,MI,117.40,58.80,176.10,3.67,176.29,71.43,"W29,W29.3,W29.1,W29.5,W29.7,W29.5"
3,Amanti,Washington,Kentucky RW,Kentucky,KY,117.30,58.60,176.20,4.00,175.60,7.58,"W29,W29.2,W29.7,W29.9,L29.4,W29"
4,Cole,Wolfe,Wake Forest LW,Wake Forest,NC,117.20,58.60,175.90,3.83,175.94,47.86,"W28.9,W29.8,L29.4,W29.2,W29.4,W29.2"
5,Lenox,Leverett,Wake Forest LW,Wake Forest,NC,117.20,58.60,175.80,3.83,176.23,95.19,"W29.1,W29.5,L29.3,W29.3,W29.3,W29.3"
6,Chase,Blaser,Kansas BT,Kansas,KS,117.00,58.60,175.30,3.67,174.87,22.93,"W29,W29.3,W28.8,L29.5,W29.4,L29.3"
7,Jaxson,Terreros,Kansas BT,Kansas,KS,116.80,58.30,175.80,3.67,175.17,67.41,"W29.1,W29.2,W29,L30,W29.1,L29.4"
8,Zaria,Jarman,Michigan State JS,Michigan State,MI,116.70,58.30,175.40,3.67,175.47,62.52,"W29.1,W28.9,W29.3,W29.2,W29.8,W29.1"
9,Sage,Carter,Western Kentucky CF,Western Kentucky,KY,116.30,58.20,174.50,3.83,174.96,12.59,"W29.1,W28.7,W29,L29.1,W29.1,W29.5"
10,Rae,Fournier,Western Kentucky CF,Western Kentucky,KY,116.30,58.10,174.50,3.83,174.93,5.54,"W29,W28.6,W29.1,L29,W29.2,W29.6"
11,Henry,Martin,Michigan State FM,Michigan State,MI,116.13,58.20,174.24,3.17,174.45,7.37,"W29.1,W28.9,W29.2,W29.1,W28.9"
12,Jared,Shirts,Emory CS,Emory,GA,116.10,58.10,174.20,3.67,174.98,14.47,"W29.1,L28.8,W28.9,W29.1,W29,L29.3"
13,Johnny,Stumpff,Emory AS,Emory,GA,116.10,58.00,174.50,2.67,173.68,0.16,"L28.4,L30,W28.6,W29.5,W28.8,W29.2"
14,Isabella,Foster,Michigan State FM,Michigan State,MI,116.00,58.00,174.12,3.17,174.53,23.79,"W29,W29,W29,W29.3,W28.8"
15,Vaden,Kumar,Western Kentucky NK,Western Kentucky,KY,116.00,58.00,174.10,3.50,174.15,45.62,"W29,W29.1,W29,L29.3,W28.9,L28.8"
16,Shiloh,Williams,Wake Forest SW,Wake Forest,NC,116.00,58.00,174.00,3.17,174.49,85.08,"L28.9,W29.2,L29,W29,W28.8,W29.1"
17,Riley,Ney,Western Kentucky NK,Western Kentucky,KY,116.00,58.00,173.90,3.50,173.48,89.53,"W28.9,W29.2,W29.1,L29.1,W28.7,L28.9"
18,Vishwa,Charabuddi,Emory RC,Emory,GA,116.00,58.00,173.90,3.33,174.70,97.32,"W28.8,W29,L28.9,L29,W29.1,W29.1"
19,Joshua,StPeter,Western Kentucky SS,Western Kentucky,KY,116.00,57.90,174.10,3.33,175.09,57.41,"W28.8,L29.3,W29,W28.9,L28.7,L29.4"
20,Asra,June,Kansas JB,Kansas,KS,116.00,57.70,174.50,3.67,173.81,40.36,"W29.5,W28.8,W29.8,L28.9,L28.8,L28.7"
21,Maggie,Stearns,Emory ST,Emory,GA,115.90,58.10,174.00,3.00,174.43,79.44,"L28.5,W29.1,W29,W29.6,L29.2,W28.6"
22,Kaelyn,Wellman,Gonzaga RW,Gonzaga,WA,115.90,58.00,173.70,2.83,174.01,92.47,"W28.9,L29.1,L29.1,W28.8,L29.1,W28.7"
23,Ari,Arceo,Northwestern AK,Northwestern,IL,115.90,57.90,173.80,3.33,173.94,16.92,"W28.7,L28.9,W29.2,L28.8,W29.2,L29"
24,Michael,Lee,Northwestern LW,Northwestern,IL,115.87,58.00,173.40,2.83,144.75,69.35,"L29,L29,W29,W28.9,W28.6"
25,Ethan,Tai,Emory ST,Emory,GA,115.80,57.90,173.80,3.00,174.61,83.21,"L28.6,W29,W28.9,W29.4,L29,W28.9"
26,Nik,Schintgen,Western Kentucky SS,Western Kentucky,KY,115.80,57.90,173.70,3.33,174.36,53.37,"W28.7,L28.9,W29.1,W29,L28.8,L29.2"
27,William,Agustin,Michigan AO,Michigan,MI,115.70,57.90,173.40,3.00,174.16,18.03,"L29,L28.4,W28.9,W28.8,W29,W29.3"
28,Marianne,Griffith,Wichita State MG,Wichita State,KS,115.70,57.90,173.30,3.33,173.45,43.61,"L28.5,W29.1,W28.9,W29.1,W29,L28.7"
