Wins,Name,Code,School
8,O'Connor & Neale,George Mason ON,George Mason University
6,Bryen & McLaughlin,Binghamton BM,Binghamton University
6,Khade & Khalif,NYU KK,New York University
5,Poteet & Alegre,George Mason PA,George Mason University
5,Haroon & Badmus,George Mason HB,George Mason University
5,Rushing & Skinner,Kentucky RS,University of Kentucky
4,Hughes & Klain,Navy HK,Navy
3,Cruzan & Doherty,Southern Nazarene CD,Southern Nazarene University
1,tang & Woods,Emory TW,Emory University
1,Jennings & Luce,Southern Nazarene JL,Southern Nazarene University
1,Glover & Reed,Georgia GR,University of Georgia
