Wins,Name,Code,School
8,Bell & Rosa-Pérez Montes,George Mason BR,George Mason University
6,Hathaway & Hathaway,Liberty HH,Liberty University
6,Travers & Tseng,NYU TT,New York University
5,Guo & Gakhare,Binghamton GG,Binghamton University
5,Ramaswamy & Robinson,Binghamton RR,Binghamton University
5,Simon & Allen,Fairmont State AS,Fairmont State University
5,Peters & Ronchetti,Liberty PR,Liberty University
4,Elsayed & Sanchez,George Mason ES,George Mason University
4,Vardhanapu & Fariss,George Mason VF,George Mason University
4,Garcia & Foudali,Indiana GF,Indiana University
4,Pena & Thomas,Indiana PT,Indiana University
4,Daley & Stene,Liberty DS,Liberty University
4,Landeros-Jimenez & Tinch,Liberty LT,Liberty University
4,Cheng & Gonzalez,NYU CG,New York University
3,Bridgers & Sun,George Mason BS,George Mason University
3,Graham & Gutting,Navy GG,Navy
3,Asmi Jan & Estrelita,Kentucky AE,University of Kentucky
2,Kinghorn & Porter,Wake Forest KP,Wake Forest University
1,Lovette & Peebles,Wake Forest LP,Wake Forest University
